Station,Date,Hour_UTC,Frequency_Hz,PLV,Score
FCHU,20260904,0,3.6,0.6025463127302404,6.0254631273024035
FCHU,20260904,0,3.7,0.5556296707493642,5.556296707493642
FCHU,20260904,0,4.7,0.563394780385302,5.63394780385302
FCHU,20260904,0,7.3,0.5746497424325238,5.746497424325238
FCHU,20260904,0,8.1,0.621209507303562,6.21209507303562
FCHU,20260904,0,8.2,0.5776458205710328,5.776458205710328
FCHU,20260904,1,3.4,0.48127882163493607,4.812788216349361
FCHU,20260904,1,3.5,0.5232419949363213,5.232419949363213
FCHU,20260904,1,5.1,0.5711541971729458,5.711541971729458
FCHU,20260904,1,5.2,0.5852569159874407,5.852569159874407
FCHU,20260904,1,7.2,0.5783465425165562,5.783465425165561
FCHU,20260904,1,7.3,0.4619017996873301,4.619017996873301
FCHU,20260904,1,7.5,0.6011593078572167,6.011593078572167
FCHU,20260904,1,8.0,0.5464666511457233,5.464666511457233
FCHU,20260904,1,8.1,0.47634179873856325,4.763417987385632
FCHU,20260904,2,2.8,0.5896984040644427,5.896984040644427
FCHU,20260904,2,3.5,0.5823662500043607,5.823662500043607
FCHU,20260904,2,3.6,0.6040728454098409,6.040728454098408
FCHU,20260904,2,7.2,0.5624206781163694,5.624206781163695
FCHU,20260904,2,7.3,0.5804829332985044,5.804829332985044
FCHU,20260904,2,7.6,0.6543548912247492,6.543548912247492
FCHU,20260904,2,7.7,0.7157088362931224,7.1570883629312245
FCHU,20260904,2,7.8,0.6660653525897298,6.660653525897297
FCHU,20260904,3,2.7,0.6592404322823883,6.5924043228238824
FCHU,20260904,3,7.5,0.7039959820224809,7.0399598202248095
FCHU,20260904,3,7.6,0.7147318642595568,7.147318642595568
FCHU,20260904,3,7.7,0.7375577341986289,7.375577341986289
FCHU,20260904,3,7.8,0.6752686447513917,6.752686447513917
FCHU,20260904,3,7.9,0.6632505966340497,6.6325059663404975
FCHU,20260904,4,7.4,0.6799445057512808,6.799445057512808
FCHU,20260904,4,7.5,0.6878375422444669,6.87837542244467
FCHU,20260904,5,3.7,0.6374069500851695,6.374069500851695
FCHU,20260904,5,5.3,0.6696419804915994,6.696419804915994
FCHU,20260904,5,5.4,0.6534794620517109,6.5347946205171095
FCHU,20260904,5,7.6,0.6367838528844499,6.3678385288445
FCHU,20260904,6,7.3,0.5044479248172195,5.044479248172195
FCHU,20260904,6,7.7,0.5183149286900687,5.1831492869006865
FCHU,20260904,6,7.9,0.5461484902537586,5.461484902537586
FCHU,20260904,6,8.0,0.526028389949049,5.26028389949049
FCHU,20260904,7,4.9,0.4362218917884812,4.362218917884812
FCHU,20260904,7,5.0,0.5119054971831016,5.119054971831016
FCHU,20260904,7,5.1,0.48959733770508485,4.895973377050849
FCHU,20260904,7,5.7,0.4229783505740033,4.229783505740033
FCHU,20260904,7,5.8,0.504982568236557,5.04982568236557
FCHU,20260904,7,6.4,0.46369932032726957,4.636993203272696
FCHU,20260904,7,6.5,0.5214711636965714,5.214711636965714
FCHU,20260904,7,6.6,0.4856296389001814,4.856296389001814
FCHU,20260904,7,6.7,0.5121950009527799,5.121950009527799
FCHU,20260904,7,6.8,0.46137464175591086,4.613746417559109
FCHU,20260904,7,6.9,0.45350002315555044,4.535000231555505
FCHU,20260904,7,7.5,0.4845556204399396,4.845556204399396
FCHU,20260904,7,7.6,0.636431240326469,6.36431240326469
FCHU,20260904,7,7.7,0.7245260486268401,7.245260486268402
FCHU,20260904,7,7.8,0.7259765138133177,7.259765138133178
FCHU,20260904,7,7.9,0.569796918023967,5.697969180239671
FCHU,20260904,7,8.0,0.5784638301395574,5.784638301395574
FCHU,20260904,7,8.1,0.5139673258665836,5.139673258665836
FCHU,20260904,7,8.2,0.46867221850430035,4.686722185043004
FCHU,20260904,7,8.3,0.47992099110509806,4.799209911050981
FCHU,20260904,7,8.4,0.489959144451323,4.89959144451323
FCHU,20260904,7,8.5,0.4826870771635777,4.826870771635777
FCHU,20260904,8,4.9,0.4260431056484478,4.260431056484478
FCHU,20260904,8,6.0,0.41868153471013686,4.186815347101368
FCHU,20260904,8,6.1,0.4523897455512394,4.523897455512394
FCHU,20260904,8,6.2,0.4511292774292856,4.511292774292856
FCHU,20260904,8,6.3,0.4381631621881911,4.381631621881911
FCHU,20260904,8,6.8,0.4739966861627553,4.739966861627553
FCHU,20260904,8,6.9,0.5978422874691182,5.978422874691182
FCHU,20260904,8,7.0,0.5881672758426706,5.881672758426706
FCHU,20260904,8,7.1,0.576754128433276,5.76754128433276
FCHU,20260904,8,7.2,0.6080393813701293,6.080393813701292
FCHU,20260904,8,7.3,0.5322891818803683,5.322891818803683
FCHU,20260904,8,7.4,0.48435162748600674,4.843516274860067
FCHU,20260904,8,7.5,0.540509465516326,5.40509465516326
FCHU,20260904,8,7.6,0.5436765165859702,5.436765165859701
FCHU,20260904,8,7.7,0.6875189773762496,6.875189773762496
FCHU,20260904,8,7.8,0.6101799511212951,6.101799511212951
FCHU,20260904,8,7.9,0.42553746186719826,4.255374618671983
FCHU,20260904,8,8.4,0.39561347465486957,3.956134746548696
FCHU,20260904,9,1.9,0.6286863698225956,6.2868636982259565
FCHU,20260904,9,6.7,0.5796468073716433,5.796468073716433
FCHU,20260904,9,6.8,0.6370236568947096,6.370236568947096
FCHU,20260904,9,6.9,0.6274706706499227,6.274706706499227
FCHU,20260904,9,7.0,0.5965221363473162,5.965221363473162
FCHU,20260904,9,7.5,0.6017210800340502,6.017210800340502
FCHU,20260904,11,1.1,0.5826507840857501,5.826507840857501
FCHU,20260904,11,1.2,0.6010075384752138,6.010075384752138
FCHU,20260904,11,1.3,0.5588866978272825,5.588866978272825
FCHU,20260904,11,1.4,0.5794699057734983,5.7946990577349835
FCHU,20260904,11,1.6,0.6455185498461935,6.455185498461935
FCHU,20260904,11,1.7,0.6536962474502707,6.536962474502706
FCHU,20260904,11,2.6,0.5692884943993927,5.692884943993927
FCHU,20260904,11,2.7,0.5837869222132837,5.837869222132836
FCHU,20260904,11,2.8,0.6027659457001582,6.027659457001581
FCHU,20260904,11,2.9,0.578257630766727,5.78257630766727
FCHU,20260904,12,6.9,0.49022214927909225,4.902221492790923
FCHU,20260904,12,7.0,0.5287600739687636,5.287600739687636
FCHU,20260904,12,7.1,0.44837246132474334,4.483724613247434
FCHU,20260904,12,7.3,0.4725582166912096,4.725582166912096
FCHU,20260904,12,7.4,0.45689209168168216,4.568920916816822
