Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
FCHU,20260904,0,1.0,0.3751095036196241,0.5397573036949624,0
FCHU,20260904,0,1.1,0.36562703262393786,0.5397573036949624,0
FCHU,20260904,0,1.2,0.3492187671309493,0.5397573036949624,0
FCHU,20260904,0,1.3,0.3174681775232114,0.5397573036949624,0
FCHU,20260904,0,1.4,0.22779582190220887,0.5397573036949624,0
FCHU,20260904,0,1.5,0.4111044439282306,0.5397573036949624,0
FCHU,20260904,0,1.6,0.40380123117197225,0.5397573036949624,0
FCHU,20260904,0,1.7,0.2502272842953261,0.5397573036949624,0
FCHU,20260904,0,1.8,0.2187666704342901,0.5397573036949624,0
FCHU,20260904,0,1.9,0.10106810570570185,0.5397573036949624,0
FCHU,20260904,0,2.0,0.31479667603796946,0.5397573036949624,0
FCHU,20260904,0,2.1,0.2476990652103632,0.5397573036949624,0
FCHU,20260904,0,2.2,0.4417322739782348,0.5397573036949624,0
FCHU,20260904,0,2.3,0.447149655001482,0.5397573036949624,0
FCHU,20260904,0,2.4,0.4332880036886657,0.5397573036949624,0
FCHU,20260904,0,2.5,0.42653011324858126,0.5397573036949624,0
FCHU,20260904,0,2.6,0.5277061096482931,0.5397573036949624,0
FCHU,20260904,0,2.7,0.31657755612165916,0.5397573036949624,0
FCHU,20260904,0,2.8,0.3868637246391577,0.5397573036949624,0
FCHU,20260904,0,2.9,0.4717015687626233,0.5397573036949624,0
FCHU,20260904,0,3.0,0.42278072136865047,0.5397573036949624,0
FCHU,20260904,0,3.1,0.47191290369062283,0.5397573036949624,0
FCHU,20260904,0,3.2,0.3594438206674301,0.5397573036949624,0
FCHU,20260904,0,3.3,0.4483697998951648,0.5397573036949624,0
FCHU,20260904,0,3.4,0.5345836856779274,0.5397573036949624,0
FCHU,20260904,0,3.5,0.5083159486817482,0.5397573036949624,0
FCHU,20260904,0,3.6,0.6025463127302404,0.5397573036949624,1
FCHU,20260904,0,3.7,0.5556296707493642,0.5397573036949624,1
FCHU,20260904,0,3.8,0.4482583538592617,0.5397573036949624,0
FCHU,20260904,0,3.9,0.33497789818965257,0.5397573036949624,0
FCHU,20260904,0,4.0,0.36457449304481937,0.5397573036949624,0
FCHU,20260904,0,4.1,0.5365155533793015,0.5397573036949624,0
FCHU,20260904,0,4.2,0.49030535123199276,0.5397573036949624,0
FCHU,20260904,0,4.3,0.41580762548371897,0.5397573036949624,0
FCHU,20260904,0,4.4,0.34590666777379453,0.5397573036949624,0
FCHU,20260904,0,4.5,0.3464303425582658,0.5397573036949624,0
FCHU,20260904,0,4.6,0.4666477096570337,0.5397573036949624,0
FCHU,20260904,0,4.7,0.563394780385302,0.5397573036949624,1
FCHU,20260904,0,4.8,0.3674661484428632,0.5397573036949624,0
FCHU,20260904,0,4.9,0.19426568589713425,0.5397573036949624,0
FCHU,20260904,0,5.0,0.1692766006080184,0.5397573036949624,0
FCHU,20260904,0,5.1,0.22672899512899117,0.5397573036949624,0
FCHU,20260904,0,5.2,0.22330417369853234,0.5397573036949624,0
FCHU,20260904,0,5.3,0.30975959618132226,0.5397573036949624,0
FCHU,20260904,0,5.4,0.3584129526941091,0.5397573036949624,0
FCHU,20260904,0,5.5,0.45938714735956304,0.5397573036949624,0
FCHU,20260904,0,5.6,0.35275351692983975,0.5397573036949624,0
FCHU,20260904,0,5.7,0.39738818450871033,0.5397573036949624,0
FCHU,20260904,0,5.8,0.2942498936457196,0.5397573036949624,0
FCHU,20260904,0,5.9,0.22808213031757998,0.5397573036949624,0
FCHU,20260904,0,6.0,0.34119536295427844,0.5397573036949624,0
FCHU,20260904,0,6.1,0.3221665308628352,0.5397573036949624,0
FCHU,20260904,0,6.2,0.35909814811365337,0.5397573036949624,0
FCHU,20260904,0,6.3,0.32058519644134503,0.5397573036949624,0
FCHU,20260904,0,6.4,0.3557531315335905,0.5397573036949624,0
FCHU,20260904,0,6.5,0.5054956495417571,0.5397573036949624,0
FCHU,20260904,0,6.6,0.45233898457556154,0.5397573036949624,0
