Frequency_Hz,Common_Geometric_Raw,Common_Geometric_Smoothed,Common_Arithmetic,Common_Minimum,FCHU_Normalized,FSMI_Normalized,ISLL_Normalized,MSTK_Normalized,PINA_Normalized
6.8,0.316221896686566,0.32812208640664914,0.4336231873619697,0.04135731354510518,0.04135731354510518,0.6429980868841563,0.5290953206720848,0.5331448802517419,0.4215203354567609
6.801,0.31161185933526897,0.3056662990340657,0.435800923725109,0.037992248245576954,0.037992248245576954,0.6656760539712007,0.5513707626030926,0.5141967165334788,0.409768837272196
6.802,0.30104608725019655,0.2887272076281933,0.43629932002745725,0.03209074547772161,0.03209074547772161,0.6821320452185182,0.5767789776693867,0.49426396318139215,0.3962308685902674
6.803,0.28328607351701096,0.27686367316308996,0.4369410833949514,0.02371012291843953,0.02371012291843953,0.6952305488429458,0.6060402708070497,0.4762928634913119,0.38343161091501
6.804,0.2683956847587913,0.2696345566128139,0.4392128955966809,0.017906936521952733,0.017906936521952733,0.7104252990063722,0.6275584938699825,0.46500749131888763,0.3751662572662091
6.805,0.25757698774628984,0.26659871895142323,0.44268870960444157,0.014346420486735156,0.014346420486735156,0.727292346806003,0.646800290774223,0.4589441367379866,0.36606035321726055
6.806,0.2570406290525442,0.2673150211529761,0.4452089544151224,0.014144317582029732,0.014144317582029732,0.7343326148783959,0.6658491150080609,0.455676140795953,0.3560425838111729
6.807,0.2728759832651431,0.27134232419153065,0.4455081403004657,0.019779470337816105,0.019779470337816105,0.740401497050413,0.6792942428311454,0.45039494385200685,0.33767054743094704
6.808,0.28566721093129016,0.27823948904114504,0.4483595682059474,0.02531004418181032,0.02531004418181032,0.7555973681824849,0.6919039553998109,0.4482391671946159,0.3207473060710151
6.809,0.29039473641781655,0.28756537667587745,0.4502006547909099,0.028169406359838105,0.028169406359838105,0.7697048196132129,0.7044891824037182,0.44445039909561446,0.3041894664821656
6.81,0.2986100134740973,0.29887884806978227,0.45267092984097995,0.033071483682271446,0.033071483682271446,0.7857456464836948,0.7122365565843071,0.44221164269006563,0.29008931976456076
6.811,0.30736045032060993,0.3109813939294482,0.4530604253827706,0.03974619149755143,0.03974619149755143,0.7957702501738322,0.7148435780374205,0.437856655296389,0.27708545190865985
6.812,0.32141453519775176,0.3252325801510339,0.45431653979599335,0.051500451010484054,0.051500451010484054,0.8008573249384681,0.7185497558954085,0.4339486538549115,0.26672651328069447
6.813,0.3393934679877824,0.34067725517603686,0.4573347948736687,0.06859474049437025,0.06859474049437025,0.8011702425507434,0.7219281157897385,0.4326166998831266,0.26236417565036463
6.814,0.3566003311375522,0.3557712654867061,0.4602152335880315,0.08977758571573213,0.08977758571573213,0.7986215038603707,0.7237355145679375,0.4312638651944534,0.25767769860166395
6.815,0.3718386008180679,0.3696201082171331,0.46386325291828995,0.11160669471365522,0.11160669471365522,0.7941880668873218,0.7259028708061142,0.4317053708542302,0.2559132613301289
6.816,0.38529822436748495,0.38166791579217496,0.46845266960382637,0.1321029854373599,0.1321029854373599,0.7913190137221265,0.7278855701089516,0.43354969152953093,0.25740608722116276
6.817,0.3998214787563286,0.3919869594617507,0.47325545973709504,0.15807941975381615,0.15807941975381615,0.7867603659131813,0.7290992721241224,0.43077663589783105,0.26156160499652437
6.818,0.4092423182546915,0.40134956533737526,0.4751318910268349,0.18054428992475013,0.18054428992475013,0.781706523033528,0.7291153891588351,0.41638888517734507,0.26790436783971616
6.819,0.4167294807647352,0.40938122910052477,0.4761332171854812,0.20070738148312936,0.20070738148312936,0.7720015050576158,0.7295956345652828,0.4013783276816988,0.27698323713967904
6.82,0.4214109817206812,0.4154544442881683,0.4756392409963164,0.21723339441668496,0.21723339441668496,0.7600247269537062,0.727308566050161,0.3894215465626357,0.2842079709983941
6.821,0.42268298889294253,0.41948339510948335,0.4735203019694138,0.2268461947245803,0.2268461947245803,0.7456384158489177,0.7268773308658462,0.3776980326766309,0.2905415357310939
6.822,0.4224313547999964,0.4216760287150908,0.47032796936352766,0.23669186687405752,0.23669186687405752,0.7286410634392163,0.7281299684636351,0.36341291869503917,0.2947640293456901
6.823,0.420187646874568,0.422570054405583,0.46616941059955896,0.2459534155120657,0.2459534155120657,0.7158520290471739,0.7283214111162555,0.3423957698415338,0.2983244274807657
6.824,0.41912255835600554,0.4226056278766927,0.46505440281136484,0.2511308909018374,0.2511308909018374,0.7183868164127232,0.7276880385325278,0.32413338294924926,0.3039328852604865
6.825,0.41918788021803854,0.42212219003401985,0.46556240980548463,0.2509899442289006,0.2509899442289006,0.7228951595716132,0.7276878263514672,0.3096425629746292,0.3165965559008132
6.826,0.4178475404162585,0.4211290729881156,0.4658700080562063,0.24792484341725265,0.24792484341725265,0.7342838121147246,0.7250937163417646,0.295550427605986,0.3264972408013034
6.827,0.4149717809084875,0.4198841104824522,0.4649641162281407,0.2408766392191248,0.2408766392191248,0.7451057364644281,0.71945202461635,0.2849343850223108,0.3344517958184899
6.828,0.41337358430894566,0.41873863362023067,0.4657649880531457,0.2242596198037071,0.2242596198037071,0.7547794050383467,0.7151946727829532,0.2861312270397806,0.34846001560094053
6.829,0.41408740713910075,0.41739911130213236,0.4683333084256259,0.20922228824410788,0.20922228824410788,0.7615901846398662,0.7112684641004815,0.2931827968521038,0.36640280829157057
6.83,0.41379414698018496,0.4155289525839891,0.47040554398792356,0.19184520757410709,0.19184520757410709,0.7638230624188388,0.7061113116691154,0.30196402204572087,0.3882841162318356
6.831,0.41617184407947666,0.41314696713772703,0.47433389030640205,0.1798716807881171,0.1798716807881171,0.7618271982961523,0.7049008789093997,0.3157823131407001,0.4092873803976413
6.832,0.41532286134623864,0.4099926304808117,0.47703747813976527,0.165425555812176,0.165425555812176,0.7607557539108463,0.7074640297321796,0.32670111916942185,0.4248409320742026
6.833,0.4119533094760308,0.40633499314821675,0.47919468139203036,0.14884226348207102,0.14884226348207102,0.7615008400445484,0.7131600302244544,0.3372336440672024,0.4352366291418757
6.834,0.40831071651609196,0.40196541828355287,0.48154424066380547,0.13335469470644662,0.13335469470644662,0.7586647947092007,0.7203706172337004,0.3484762654254038,0.44685483124427616
6.835,0.40212252265518655,0.3973008334454035,0.48235474598483874,0.11810904969122957,0.11810904969122957,0.7528084676603154,0.7288557975025832,0.3551384878930906,0.45686192717697477
6.836,0.3966937418730194,0.39244279428513607,0.48168327510188913,0.10883608064476855,0.10883608064476855,0.7410932281184878,0.7403965442116068,0.35596275740798244,0.46212776512659987
6.837,0.38835165799326155,0.38755632506538773,0.47907520048195706,0.09778855246076033,0.09778855246076033,0.7202587729622318,0.7531480164486661,0.3546666435978368,0.4695140169402903
6.838,0.37840517409038565,0.3828203814695602,0.47481115551144437,0.08702267079663055,0.08702267079663055,0.695369017995945,0.7609858772733684,0.3519224576748601,0.47875575381641794
6.839,0.3695368718876772,0.37852020870976133,0.4699006983240306,0.07915575714690772,0.07915575714690772,0.6663202189567352,0.7668820053585204,0.34905674176846524,0.4880887683895243
6.84,0.3662300183934372,0.37516351213943017,0.46731769869734413,0.07650017336799818,0.07650017336799818,0.63294904179844,0.7747697901099203,0.34861721877534935,0.5037522694350132
6.841,0.36357828592270497,0.3721355006236048,0.46511847921712696,0.07409442111982766,0.07409442111982766,0.5963485771589405,0.7787716556293514,0.35226411576094313,0.5241136264165718
6.842,0.36471238243854087,0.36937311895565134,0.4634231406537859,0.07538099542710036,0.07538099542710036,0.5574573919144582,0.7811235388254849,0.3659459320210911,0.5372078450807949
6.843,0.3634417793994753,0.36650338888132056,0.45829824238707173,0.07798946392472308,0.07798946392472308,0.5156895616164979,0.7817146837902041,0.36798984782852595,0.5481076547754078
6.844,0.36520315660061176,0.3632360957568838,0.4526978140481693,0.08638078999958371,0.08638078999958371,0.474228887059008,0.7808134122310797,0.3638392385555106,0.5582267423956645
6.845,0.364327795388162,0.35965256244900073,0.44705855919791626,0.09302481928214787,0.09302481928214787,0.43345260200624136,0.7850839014513818,0.35915571442000505,0.564575758829805
6.846,0.36547310631275065,0.3562089051481013,0.4438426998418358,0.10176274742801342,0.10176274742801342,0.3972467356301214,0.7913736116904289,0.35550391775470247,0.5733264867059128
6.847,0.3652821151497882,0.35319772090756807,0.4425904591471994,0.1071185053678933,0.1071185053678933,0.36557658674539895,0.8022170756590301,0.35516830646641945,0.5828718214972552
6.848,0.361545294904881,0.35041810654203687,0.44060717992126397,0.10764008220980016,0.10764008220980016,0.3376797726776319,0.8111738587055267,0.35298848645924175,0.5935536995541196
6.849,0.35383178603329357,0.34724633152658707,0.4360652903798569,0.10520102536202947,0.10520102536202947,0.3081656958032065,0.8190536998915792,0.348392106787414,0.5995139240550555
6.85,0.3385319356103305,0.3437191995210816,0.4269036517120375,0.0976444614179978,0.0976444614179978,0.2706982482859178,0.8269622126979792,0.3387745168551519,0.6004388193031408
6.851,0.3280666641049564,0.34011667181266725,0.42139597890213676,0.09100026821031255,0.09100026821031255,0.2536714964631418,0.8346197301246423,0.33003182533026676,0.5976565743823203
6.852,0.3214475860753727,0.33672971573097804,0.41655547268092913,0.08911791906339593,0.08911791906339593,0.2385706196095503,0.8387701211896395,0.3260364740532292,0.5902822294888309
6.853,0.3192277737085397,0.33364473909987075,0.41291527446565174,0.09278396652844845,0.09278396652844845,0.22284676234848885,0.839225652484731,0.32896969481348015,0.5807502961531104
6.854,0.32186653972902934,0.3308197157048658,0.4141610218134687,0.09958592612793235,0.09958592612793235,0.20549537639564408,0.8411677222259019,0.34815319622696317,0.5764028880909022
6.855,0.3274293361201168,0.3285078151365367,0.4169489584257584,0.11325858395514855,0.11325858395514855,0.18750540490509912,0.8437480953686004,0.36535428545377535,0.5748784224461687
6.856,0.3266330090552859,0.3325832185732489,0.4175812116628075,0.12001188793895928,0.12001188793895928,0.1667874570071633,0.8454163665177449,0.3849476967208582,0.5707426501293116
6.857,0.3219540156877105,0.3188782865149669,0.4178527759431697,0.12463569053075928,0.12463569053075928,0.1414324745618565,0.8495057142648627,0.40926676669105344,0.5644232336673167
6.858,0.3143309998945468,0.30196040822820963,0.4177015029096217,0.11745132291878056,0.12715925242876436,0.11745132291878056,0.8539855967448617,0.4286988379165341,0.5612125045391676
6.859,0.30980183430420505,0.28422060938264765,0.42138990154765593,0.09552876641288283,0.13624607652272464,0.09552876641288283,0.8564899807362982,0.45077684417397834,0.5679078398923955
6.86,0.30147784973607644,0.2669906956129755,0.42395637601146313,0.0744518126500368,0.1441809213558558,0.0744518126500368,0.853408354477277,0.4730241257884543,0.5747166657856912
6.861,0.29054543462253407,0.2503447274442523,0.42642033704595184,0.055762781602395256,0.1520419418788431,0.055762781602395256,0.8463948730992575,0.4949139738646445,0.5829881147846189
6.862,0.2711479140998062,0.23590076332051915,0.4284041985356062,0.0360391402172882,0.15849285213614037,0.0360391402172882,0.8396053441112543,0.518750989330105,0.5891326668832431
6.863,0.24818138434333928,0.22433120045717303,0.42981545750536243,0.021543746031129726,0.16444220985402652,0.021543746031129726,0.8305985744480877,0.5406178168410527,0.5918749403525156
6.864,0.2154941856022285,0.21630123275944318,0.43132555867465283,0.009961786655834715,0.17072415903285326,0.009961786655834715,0.8230887925484538,0.5591779716745322,0.59367508346159
6.865,0.17097241095342774,0.21251229818044967,0.43443420744828554,0.00292016427103546,0.17761638437586694,0.00292016427103546,0.8176344458876226,0.5782940040820874,0.5957060386248153
6.866,0.0022144123145502606,0.21330953044404688,0.4373295468436969,0.0,0.18513677560331515,0.0,0.8090255173064861,0.5935809044969569,0.5989045368117262
6.867,0.18606545336445127,0.21811616183648044,0.4396561303918206,0.003928158602633855,0.19841469630847777,0.003928158602633855,0.7992188106385961,0.6028253030230185,0.5938936833863767
6.868,0.23125117479070836,0.22602906177909063,0.44083786148081766,0.01120729582635974,0.20985123064272834,0.01120729582635974,0.7876798422310217,0.6145902669118631,0.5808606717921155
6.869,0.2634074209602283,0.23697319693899993,0.44144665574268077,0.02107686857902548,0.2189693213772176,0.02107686857902548,0.7765586687392267,0.6194778214607026,0.5711505985572314
6.87,0.28851021077908023,0.25061991948447226,0.4449905718339185,0.032055085661233336,0.22713136283325697,0.032055085661233336,0.7681782107601572,0.6325836567518531,0.565004543163092
6.871,0.31454112245565097,0.26719099281933834,0.4480631559027123,0.0487896673198281,0.2322714728667426,0.0487896673198281,0.7612976063846446,0.6426379507966467,0.5553190821456996
6.872,0.32742216608606767,0.2862485797029568,0.44848952285856675,0.0602495232758334,0.2346563782488749,0.0602495232758334,0.7556154576540868,0.6499998073647912,0.5419264477492478
