t_s,mx,my,mz,yaw_deg,roll_deg,pitch_deg
0.0,4490.483808701334,-4496.6219308778545,-4895.2477983782555,139.24513938212445,-21.103272890947053,-14.612001252778295
0.004999999999999005,4490.4092533371395,-4495.2685397854875,-4893.677578025271,139.23895145724978,-21.096212608087185,-14.611812382422094
0.009999999999999787,4490.254419430209,-4494.498336183727,-4891.129473684689,139.23389096367129,-21.084955778091953,-14.611743733421664
0.014999999999998792,4489.706750687818,-4494.034676602809,-4888.9434771213855,139.2282022845942,-21.074046278044744,-14.612156477121303
0.019999999999999574,4488.783935272241,-4493.678667415851,-4888.625731272623,139.22306628882646,-21.063474694772335,-14.61041033388249
0.02499999999999858,4487.810618591394,-4493.491995810717,-4890.497731107556,139.21719331867527,-21.05078521831392,-14.604951541892419
0.02999999999999936,4487.182030729927,-4493.66712701495,-4893.4045639531805,139.21182162019662,-21.035305635391275,-14.598963659408195
0.034999999999998366,4486.948178383337,-4494.302436776621,-4895.65129995854,139.2059169462147,-21.026108200326277,-14.595572828289724
0.03999999999999915,4486.72113614579,-4495.392421758777,-4896.321944908976,139.20088609792933,-21.02109674035021,-14.59296368853042
0.04499999999999993,4485.997446583437,-4496.827024564334,-4895.752090131098,139.1945589889378,-21.01478773451586,-14.582239925183563
0.049999999999998934,4484.5553951041575,-4498.486747818483,-4895.012518464848,139.1913696122967,-21.012365768853808,-14.57823132927184
0.054999999999999716,4482.651752404854,-4500.288969103423,-4895.129274590939,139.1893847915175,-21.017886738765927,-14.570354259954781
0.05999999999999872,4480.964805454363,-4502.032998235998,-4896.5055766192645,139.18683105715732,-21.024681305425958,-14.561312436249514
0.0649999999999995,4480.227679499125,-4503.3404532576205,-4898.742074342184,139.1914366450394,-21.035454636943882,-14.554405006949645
0.06999999999999851,4480.809050571344,-4503.766873319585,-4900.904649834485,139.1924804839868,-21.048647645553107,-14.54459675189077
0.07499999999999929,4482.606241090292,-4503.021999492671,-4901.980325039821,139.19796600817767,-21.071109147469596,-14.538513874199175
0.08000000000000007,4485.210786320009,-4501.288065493286,-4901.490600170295,139.20460513035036,-21.092578531397308,-14.52679734608899
