PLV,Phase_D_minus_H_deg,Axis_Ratio,PCA_Orientation_deg,Signed_Area,Rotation,Dominant_m,Dominant_m_Amplitude,A1,Phi1_deg,A2,Phi2_deg,A3,Phi3_deg,A4,Phi4_deg,A5,Phi5_deg,A6,Phi6_deg,Fourfold_Amplitude,Window,UTC
0.31808991181538737,-134.44962431672192,0.6494714307986365,-54.68202745410811,467.1576193432414,CCW,2,0.17114421672677269,0.001109328766568031,113.22279544587913,0.17114421672677269,125.86986634237024,0.0013829181251677775,51.42114606585042,0.023673151855024475,34.179723489723195,0.001288396046209558,22.642504089871448,0.06490942055949886,34.48656652207957,0.023673151855024475,0,2021-12-31T23:59:57.770000000
0.4361499091417516,-108.34748965824784,0.6943294090911002,-10.462323268240965,440.0529771162404,CCW,2,0.04849241404915128,0.0005627504229146884,145.03076830245055,0.04849241404915128,176.18337127132136,0.0006539642934361748,52.10537582313117,0.03544613158603294,67.26827242800302,0.00017576217456928778,12.72971871725721,0.02542542122996658,41.32762107771894,0.03544613158603294,1,2022-01-01T00:00:57.760000000
0.026857001762334173,-141.61285258635786,0.8237042613946157,-7.430869289411021,-140.25842132423276,CW,2,0.07524328883126057,0.0018723253891763032,330.80195815911344,0.07524328883126057,164.84084280595167,0.0016262604089589774,17.11562343129513,0.0627135111285569,13.090696407417578,0.00038701706870531436,65.1819555894431,0.02669370495054942,58.546763646840745,0.0627135111285569,2,2022-01-01T00:01:57.780000000
0.04677243453215947,163.0103537259628,0.8006624820652593,-3.5760654135891343,-173.82718272175387,CW,4,0.08283761063348392,0.002454848668683736,188.9775085098265,0.07838416694090801,4.388649568593912,0.0018479263368086586,73.92235652627627,0.08283761063348392,21.09483253890151,0.003027057187546225,27.66883734433037,0.04246370440931223,28.325328016330843,0.08283761063348392,3,2022-01-01T00:02:57.780000000
0.03775274754487403,94.86081467141743,0.8537225173245242,-11.082750624026431,58.206465842490275,CCW,4,0.12324586973662084,0.00211901500622609,232.74668693879985,0.04263016882999931,137.4132934195349,0.001351504381087043,31.191499591489183,0.12324586973662084,12.722452869557948,0.00472829946137806,62.77881489195815,0.036874680379040736,14.443287072880725,0.12324586973662084,4,2022-01-01T00:03:57.780000000
0.2744747296838106,71.19131414110109,0.8615306549670598,-23.24242735188224,-447.20032329340006,CW,2,0.0730564227607599,0.0018055192049295933,11.378432090675641,0.0730564227607599,136.01621402201124,0.0011210863844297843,19.002612876649433,0.04143589902822568,41.889735672476014,0.0020493438706374726,6.562682599708643,0.022420868423405942,27.73663017303034,0.04143589902822568,5,2022-01-01T00:04:57.770000000
0.06309347980114544,76.81476789077249,0.9010845085273457,47.1574111638573,-314.9781955360486,CW,2,0.06765527418835096,0.003164417485613903,54.12799876978669,0.06765527418835096,58.02465472963632,0.0012830402729950639,50.25398549468962,0.037853757310131665,53.20827525938455,0.002300577005295854,41.079694699232476,0.013755050913374312,24.037062532568577,0.037853757310131665,6,2022-01-01T00:05:57.770000000
0.29176837989853405,92.1282289784457,0.6939761525723656,-7.128345630115433,-362.4564739414768,CW,2,0.17491825757028834,0.0016683763079866128,253.68338408002523,0.17491825757028834,173.6084861476666,0.0009292078462277636,111.76593918605361,0.03374075139150674,0.22504878413220547,0.0026443508708936594,4.243869065388246,0.0460865642623701,18.35312759446067,0.03374075139150674,7,2022-01-01T00:06:57.770000000
0.27459797009634584,-163.33876526940153,0.6729895846236312,-37.04071530502196,253.3587937045795,CCW,2,0.06896629322461513,0.0031695744744895255,203.9912125628118,0.06896629322461513,150.42673240402345,0.0017761389015721787,35.01371445535621,0.04640364789984017,28.609838235985453,0.003394619387306676,61.60645093123787,0.0232379481111566,49.6410400473723,0.04640364789984017,8,2022-01-01T00:07:57.770000000
0.41313758149720936,-120.99007785306688,0.611626599912453,-65.58063285866984,697.3319668063248,CCW,2,0.20248043211366554,0.0006736488904786177,202.90180721295354,0.20248043211366554,119.59089820816072,0.0009763995081474041,93.96059591282284,0.044110677814685216,37.02638302415936,0.0019470811363424105,2.8837180770073574,0.044898550866683276,57.271285868208814,0.044110677814685216,9,2022-01-01T00:08:57.760000000
