year,latitude_deg,longitude_deg,north_nT,east_nT,down_nT,declination_deg
1590.0,17.0,-122.42945445772133,39324.008096814585,6.003531208948441e-13,35123.35549411402,8.74725179592469e-16
1590.0,17.0,-54.74721731758698,36480.54849164565,3.4991336412583396e-10,21968.717438202028,5.495684628816905e-13
1590.0,17.0,30.053810583509666,31849.334393264664,5.114257015928145e-11,33033.06693140992,9.200360005633928e-14
1590.0,17.0,118.50663528453896,35995.69218661225,4.5508116223416835e-09,9559.018811420054,7.2437084406516425e-12
1591.0,17.0,-122.55244775271909,39301.17518094215,1.5338778458376476e-12,34989.72215521443,2.2361857234674355e-15
1591.0,17.0,-55.11114162120005,36493.09632588272,9.507188666966343e-11,21990.400643493944,1.492670780213941e-13
1591.0,17.0,29.772725903359614,31836.617007977657,-8.105870808014677e-10,32982.505176805644,-1.458798799072029e-12
1591.0,17.0,118.32428805806498,36010.75267685469,3.71346760307846e-12,9431.496968181533,5.9084024964496115e-15
1592.0,17.0,-122.68254206731957,39277.38186365827,3.1804832035977736e-13,34852.84862640062,4.639521672064604e-16
1592.0,17.0,-55.48543387190254,36505.78539719181,-7.864726326244596e-13,22005.234711468238,-1.2343677053279005e-15
1592.0,17.0,29.49485812998257,31823.891908718684,-1.0743573457087929e-13,32940.67855667047,-1.9342744682062923e-16
1592.0,17.0,118.15536809274904,36026.20599312595,-5.96435474251554e-12,9306.196348727333,-9.48566036429654e-15
1593.0,17.0,-122.80609269150733,39253.57581793041,2.7708655411361888e-12,34717.14923162458,4.044444303410903e-15
1593.0,17.0,-55.86004310768085,36517.839031589516,-4.563933142542366e-11,22022.722719372745,-7.160722375202775e-14
1593.0,17.0,29.212499664571485,31811.166543494543,1.0533439396870521e-09,32896.56960887337,1.8972005329396817e-12
1593.0,17.0,117.98628152335273,36041.28282610436,1.9002006457040366e-12,9179.921895260184,3.020799169446297e-15
1594.0,17.0,-122.91808218702896,39230.147246178116,1.6765165915689356e-12,34584.173739031205,2.4485588692231107e-15
1594.0,17.0,-56.23182571425271,36529.12987987332,1.8967224069566663e-10,22046.222480259963,2.975000751014024e-13
1594.0,17.0,28.922667624099013,31798.484928765953,-3.336827700001904e-11,32846.20435249943,-6.012429353182844e-14
1594.0,17.0,117.8123470918243,36055.71260416801,3.6739196754287384e-12,9051.629474651763,5.838189747712997e-15
1595.0,17.0,-123.02241662411505,39206.916077609225,-3.2695248960469547e-12,34452.68281189097,-4.777982975902113e-15
1595.0,17.0,-56.60364396890914,36539.999092152604,4.782041396981379e-11,22072.954417069162,7.498379756739513e-14
1595.0,17.0,28.627733324768922,31785.92108638169,5.515857098327415e-10,32792.703610542245,9.942619918818061e-13
1595.0,17.0,117.63775915652624,36069.71250510302,-1.6448678356872914e-12,8922.508154660642,-2.612828833286837e-15
1596.0,17.0,-123.12261259573768,39183.71330729182,-9.131874943724139e-13,34321.60400412709,-1.3352943076461618e-15
1596.0,17.0,-56.97773721214997,36550.68711455016,-1.3227141821073318e-13,22100.46015334691,-2.073447754876261e-16
1596.0,17.0,28.330009687105083,31773.535639039157,-5.08410899534642e-10,32738.826180998676,-9.167943767011505e-13
1596.0,17.0,117.4662363438163,36083.45671424287,-5.081913622556611e-13,8793.649395139915,-8.069409888537688e-16
1597.0,17.0,-123.21869265041201,39160.53081651362,1.1051451637503207e-12,34190.920498491425,1.6169380831141881e-15
1597.0,17.0,-57.35392967255374,36561.17213160557,-3.005088203018175e-11,22128.620123539014,-4.709336737829935e-14
1597.0,17.0,28.029792030680508,31761.336474213505,1.5458486270561456e-11,32684.583445282264,2.7886295706831772e-14
1597.0,17.0,117.29811582605974,36096.87758043314,5.52452766693079e-12,8665.251194149918,8.76896120483204e-15
1598.0,17.0,-123.30980535478763,39137.40083770922,-3.534877468860942e-13,34060.86458507869,-5.174936396554885e-16
1598.0,17.0,-57.73153722457127,36571.38400426369,1.0202886932130124e-10,22157.883925632566,1.598469338737858e-13
1598.0,17.0,27.72682072747155,31749.320980813034,1.5072984379735366e-09,32629.31471255951,2.7201160936555438e-12
1598.0,17.0,117.13291593148044,36109.850112572414,-2.3175853597345863e-12,8537.289468237619,-3.6773306829060334e-15
1599.0,17.0,-123.39567600705664,39114.3317749393,2.1093174949748938e-13,33931.4812134009,3.089787927620967e-16
1599.0,17.0,-58.11031840884728,36581.29505422051,2.7221737396773e-11,22188.298844975194,4.26362888885364e-14
1599.0,17.0,27.42119341485072,31737.50828683093,-4.641542879213478e-11,32572.874523096445,-8.379385520894262e-14
1599.0,17.0,116.97080221676039,36122.30709568843,2.108849986998118e-12,8409.893477400952,3.3449747149631195e-15
1600.0,17.0,-123.47662474364914,39091.30743225,2.657569151721939e-12,33802.63265074972,3.895175325658462e-15
1600.0,17.0,-58.490418257422164,36590.909137567774,2.708965809918723e-12,22219.510259952327,4.241827038788321e-15
1600.0,17.0,27.113420256280808,31725.93807813106,5.906576699098165e-10,32515.63741797194,1.0667042071229248e-12
1600.0,17.0,116.81258551569942,36134.238394998356,-1.9855722968586953e-12,8283.351398644474,-3.1483965784608155e-15
1601.0,17.0,-123.55297252804904,39068.310549258706,7.59175274728241e-13,33674.20102704881,1.11337138824495e-15
1601.0,17.0,-58.871883833524535,36600.21633980501,-1.057067638716297e-11,22251.189675575235,-1.6547856929587257e-14
1601.0,17.0,26.80403815544607,31714.65504257234,-1.0466114524522452e-09,32457.910438844538,-1.890811012608349e-12
1601.0,17.0,116.65900526202537,36145.625756302776,7.195212307908871e-13,8157.974919854484,1.1405399389769237e-15
1602.0,17.0,-123.62490896976531,39045.32502954062,-3.251476995633218e-12,33546.1719462772,-4.771273101010526e-15
1602.0,17.0,-59.25440882192623,36609.16525731792,-5.08058619046875e-11,22283.173164386866,-7.951455438010028e-14
1602.0,17.0,26.49349815016212,31703.72076558096,-2.3772477042438567e-13,32399.636883662304,-4.296223188358668e-16
1602.0,17.0,116.51042124048791,36156.41110752039,9.625958970888027e-10,8034.1235529310625,1.5253915029284026e-12
1603.0,17.0,-123.69259363185793,39022.33499603985,-2.2923633477556216e-12,33418.55745202317,-3.3658351031583983e-15
1603.0,17.0,-59.63759851954338,36617.695102732454,2.0979773040358252e-11,22315.34115044192,3.2827092119874486e-14
1603.0,17.0,26.18222833972174,31693.200997180484,1.6816087680324165e-09,32340.667302168367,3.040055348433338e-12
1603.0,17.0,116.3670908765467,36166.52660834673,-1.2863711831845315e-12,7912.16959921299,-2.0378965467674737e-15
1604.0,17.0,-123.75618567024219,38999.32675204595,2.35822255820195e-12,33291.36705458914,3.4645777501896887e-15
1604.0,17.0,-60.02107003701698,36625.74600625748,-1.5078845290450449e-12,22347.567929701807,-2.358871256645319e-15
1604.0,17.0,25.87067643007367,31683.160584732952,-3.6486898918886013e-10,32280.881340939886,-6.59828526255041e-13
1604.0,17.0,116.22932125193738,36175.90949316256,-5.465133554038992e-13,7792.480922170148,-8.65573503220283e-16
1605.0,17.0,-123.81584354879165,38976.2888164972,-3.683905611118199e-12,33164.607727624054,-5.415401261915325e-15
1605.0,17.0,-60.40444891435016,36633.258481514706,-1.8860173839341243e-12,22379.72187649766,-2.9498013735867333e-15
1605.0,17.0,25.559314142083423,31673.66326935933,1.6903098712384157e-10,32220.18809326419,3.0576703701005717e-13
1605.0,17.0,116.09747097625846,36184.50196728889,-2.8502807752905923e-12,7675.42104607318,-4.513232184294259e-15
1606.0,17.0,-123.87170467710004,38953.21307341625,-4.815050268225374e-13,33038.304185691064,-7.082395436614844e-16
1606.0,17.0,-60.78731311493049,36640.16963425401,-1.742937955420687e-11,22411.69294582635,-2.725505634815803e-14
1606.0,17.0,25.248593053337892,31664.769123827467,2.600522077192413e-09,32158.466610399733,4.7055116356935296e-12
1606.0,17.0,115.97184742969101,36192.24479946316,2.1624447024692905e-12,7561.346641349131,3.4233564557385836e-15
1607.0,17.0,-123.9238093403048,38930.105094004684,5.015250367779167e-13,32912.54903721079,7.381245917043083e-16
1607.0,17.0,-61.169080972194436,36646.404724458764,1.4544086421319768e-11,22443.44417900797,2.2739332141332165e-14
1607.0,17.0,24.938845917538476,31656.525329427408,-3.2879597482160516e-11,32095.479206000393,-5.95094423096889e-14
1607.0,17.0,115.85256875157064,36199.07293838727,-1.9720926280886175e-12,7450.58246794402,-3.1214220483121163e-15
1608.0,17.0,-123.97217612628286,38906.97374564523,-4.4818489197684386e-13,32787.45241628074,-6.600128532143694e-16
1608.0,17.0,-61.54912064148507,36651.88640459465,1.1305869435096483e-12,22474.96156962538,1.767381343503727e-15
1608.0,17.0,24.630373775594144,31648.975269507522,1.313422252034735e-09,32030.95567757872,2.377756345010699e-12
1608.0,17.0,115.73970180532788,36204.91988995111,2.1943393282986e-12,7343.44637855132,3.47263252379072e-15
1609.0,17.0,-124.01689128965307,38883.8249025518,5.189256142845711e-13,32663.13285421521,7.646430785616558e-16
1609.0,17.0,-61.92672004515001,36656.529122695036,-5.354952592462325e-13,22506.2227560324,-8.370028215540241e-16
1609.0,17.0,24.32354054747766,31642.162949782996,-1.2979632906667815e-09,31964.606477303456,-2.3502760742412748e-12
1609.0,17.0,115.63328215566713,36209.7183330517,2.6801000654885776e-12,7240.2935096846095,4.240806874354092e-15
1610.0,17.0,-124.05811070855702,38860.66132727541,3.3205643096279047e-12,32539.717701740923,4.895807586524928e-15
1610.0,17.0,-62.30108199829192,36660.23863382142,-6.482662497087066e-12,22537.197919430313,-1.0131663484267692e-14
