Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
20260904,0,8.088,0.7768390889013925,7.6501070537621425
20260904,1,7.496,0.7093357037507131,7.629700366190669
20260904,2,7.9,0.7936025510298134,7.605015921523484
20260904,3,8.059,0.7376502179687501,7.674936834346446
20260904,4,8.074,0.797513807863828,7.612621383206142
20260904,5,7.435,0.7644558701237816,7.631016917621548
20260904,6,7.387,0.6673341950717057,7.604586818182748
20260904,7,7.731,0.8367816494770658,7.5862606217748265
20260904,8,7.984,0.8371239911880746,7.580887574166286
20260904,9,7.973,0.837234240472612,7.6460067374863785
20260904,10,7.657,0.8208883942154642,7.536831795904659
20260904,11,7.078,0.707341226985565,7.562641870933175
20260904,12,7.061,0.7937986786813105,7.582311186451778
20260904,13,7.607,0.6878161232703314,7.607810976615097
20260904,14,8.098,0.7117548307017003,7.658908591186667
20260904,15,7.567,0.7415845783908118,7.657155375149987
20260904,16,6.972,0.8028971041694816,7.517588722139807
20260904,17,7.734,0.6930759885437875,7.591211620980388
20260904,18,7.768,0.6651693496148987,7.601228455769159
20260904,19,6.951,0.6773040463547519,7.575308822685256
20260904,20,8.028,0.7057971808703141,7.54385819260937
20260904,21,6.81,0.6858699505906346,7.643725119832015
20260904,22,6.925,0.6730330392230651,7.542075004560031
20260904,23,8.088,0.8266118988858472,7.555474144610062
