timestamp,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg,mx,my,mz,time_year,time_month,time_day,time_hour,time_minute,time_second,time_ms,lat,lon,alt_m,speed_kn,course_deg,hdop,nsats,fix
1761737482.493896,,,,-0.48828125,0.244140625,0.1220703125,,,,,,,,,,,,,,,,,,,,,
1761737482.495226,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,,,,,,,,,,,,,,,,,,
1761737482.495300,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.495340,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.496600,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.496659,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.496695,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.498202,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,,,,,,,,,,,,,,,
1761737482.498297,,,,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,2025,8,21,3,16,2,93,,,,,,,,
1761737482.498348,0.12060546875,-0.26904296875,0.96240234375,-0.48828125,0.244140625,0.1220703125,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,2025,8,21,3,16,2,93,,,,,,,,
1761737482.499358,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.08642578125,5.0042724609375,-701,4784,-6632,2025,8,21,3,16,2,93,,,,,,,,
1761737482.499407,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-701,4784,-6632,2025,8,21,3,16,2,93,,,,,,,,
1761737482.499441,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.500758,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.500796,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.500823,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.502644,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.502698,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,93,,,,,,,,
1761737482.502729,0.12060546875,-0.26904296875,0.96240234375,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,98,,,,,,,,
1761737482.504067,0.11669921875,-0.26806640625,0.9638671875,-0.732421875,-0.06103515625,-0.3662109375,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,98,,,,,,,,
1761737482.504189,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.6387939453125,-6.0919189453125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,98,,,,,,,,
1761737482.504229,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-703,4785,-6633,2025,8,21,3,16,2,98,,,,,,,,
1761737482.505127,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.505171,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.505198,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.506524,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.506564,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.506590,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,98,,,,,,,,
1761737482.508165,0.11669921875,-0.26806640625,0.9638671875,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,103,,,,,,,,
1761737482.508200,0.12451171875,-0.271484375,0.96484375,-0.54931640625,0.1220703125,0.06103515625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,103,,,,,,,,
1761737482.509583,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,103,,,,,,,,
1761737482.509639,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-706,4785,-6637,2025,8,21,3,16,2,103,,,,,,,,
1761737482.509672,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.511206,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.511261,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.511293,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.512786,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.512842,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,103,,,,,,,,
1761737482.512874,0.12451171875,-0.271484375,0.96484375,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,108,,,,,,,,
1761737482.514147,0.1298828125,-0.26953125,0.96337890625,0.06103515625,0.244140625,0.244140625,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,108,,,,,,,,
1761737482.514214,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.08642578125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,108,,,,,,,,
1761737482.514254,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-709,4786,-6641,2025,8,21,3,16,2,108,,,,,,,,
1761737482.515999,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.516064,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.516093,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.516967,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.517004,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.517032,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,108,,,,,,,,
1761737482.518509,0.1298828125,-0.26953125,0.96337890625,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,113,,,,,,,,
1761737482.518569,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,-0.30517578125,-0.18310546875,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,113,,,,,,,,
1761737482.518615,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.0919189453125,5.0042724609375,-711,4786,-6644,2025,8,21,3,16,2,113,,,,,,,,
1761737482.519864,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-711,4786,-6644,2025,8,21,3,16,2,113,,,,,,,,
1761737482.519931,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.519968,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.521182,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.521244,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.521286,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.522685,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,113,,,,,,,,
1761737482.522729,0.12060546875,-0.26611328125,0.96044921875,0.06103515625,0.06103515625,0.0,-16.644287109375,-6.08642578125,4.998779296875,-712,4785,-6642,2025,8,21,3,16,2,118,,,,,,,,
