Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
20260904,0,7.271,0.8964177146631008,7.589702840271148
20260904,1,7.889,0.8932453390328938,7.637657050968482
20260904,2,7.701,0.9289793100149997,7.587341323806119
20260904,3,8.35,0.9023925651790183,7.642849644214455
20260904,4,7.474,0.8933889799304452,7.539814801692884
20260904,5,8.263,0.8986917810295803,7.62857343359767
20260904,6,7.435,0.860268297580843,7.6066961228308285
20260904,7,7.578,0.9158346642203501,7.653582026146916
20260904,8,7.703,0.9291052893366731,7.529106544653658
20260904,9,6.87,0.8809607509815597,7.534904229250333
20260904,10,7.507,0.8677461702480913,7.546538300767609
20260904,11,8.082,0.8599147776587238,7.562533969742839
20260904,12,6.966,0.8925486609488661,7.596384717750249
20260904,13,7.313,0.6885867632222235,7.637594987906038
20260904,14,7.313,0.8209027790431219,7.613810886263268
20260904,15,7.148,0.8974900271653399,7.596651462132237
20260904,16,8.265,0.8864454640181503,7.608194847909485
20260904,17,7.195,0.9435030929729981,7.659468792908768
20260904,18,7.008,0.948221238938944,7.592586202872647
20260904,19,7.506,0.9162675036516978,7.567563718738464
20260904,20,7.752,0.9232065976871607,7.590693645954217
20260904,21,6.948,0.8431185685388105,7.622304838648761
20260904,22,7.278,0.8175288737222274,7.659028201915923
20260904,23,7.888,0.883940422342595,7.58832027451823
