Frequency_Hz,Mean_PLV,Median_PLV
6.8,0.3522542947029617,0.3114413118288345
6.801,0.3495037247472364,0.3109215776966391
6.802,0.346610228927782,0.3105506001837849
6.803,0.3440014923972212,0.3099091020364675
6.804,0.3423632753067319,0.31040059743780896
6.805,0.34148310131261234,0.3115791305171577
6.806,0.3410087096202434,0.3120973626782553
6.807,0.3402420758788278,0.3124076828772314
6.808,0.339929137137468,0.312616543544035
6.809,0.33937914866062796,0.3120301491605346
6.81,0.339054164340308,0.3042989742294113
6.811,0.33842198184174416,0.3148114493426859
6.812,0.33785468510989786,0.3275378282452388
6.813,0.3376613348395669,0.33435656352349297
6.814,0.33746495346430255,0.333949685836208
6.815,0.33752904369600634,0.3400014060084613
6.816,0.3377967705910043,0.34600091957866025
6.817,0.3373942258579357,0.34556816441571
6.818,0.3353056585724372,0.3347667738704837
6.819,0.33312668286375596,0.32541128633581073
6.82,0.3313910021190524,0.32151097202972895
6.821,0.3296891831169666,0.3184202867139764
6.822,0.327615514875753,0.3150650687830111
6.823,0.3245646050857062,0.30507553506709195
6.824,0.32191358446689383,0.30922854805598177
6.825,0.3198100553519539,0.31358483456862396
6.826,0.31776440044135995,0.31402228481137806
6.827,0.3162233451595115,0.31413628661568316
6.828,0.3163970821898618,0.31393661789377947
6.829,0.31742070834988817,0.31346498834277103
6.83,0.3186954162609635,0.32090481781526214
6.831,0.32070131914899286,0.3142692872991919
6.832,0.32228632444351896,0.31172375987221046
6.833,0.3238152560578178,0.30509272420413924
6.834,0.3254472673171283,0.2943981227954007
6.835,0.3264143746965265,0.289414586174305
6.836,0.32653402803058,0.29608149495977076
6.837,0.3263458804212182,0.3055107258241748
6.838,0.32594752649812075,0.31023311201618337
6.839,0.32553153093301085,0.31633747253343847
6.84,0.3254677285109033,0.3254532586686614
6.841,0.32599712256878405,0.33552396143182006
6.842,0.3279832143771762,0.33450953294856356
6.843,0.3282799150757533,0.3345917456927472
6.844,0.3276774006931429,0.33847810621844876
6.845,0.32699752685599537,0.3328081678376513
6.846,0.3264674215465126,0.32384123151140354
6.847,0.3264187032464135,0.31336867817943787
6.848,0.32610227430323036,0.30701356485531156
6.849,0.32543505060712885,0.3001621039294542
6.85,0.32403893358452424,0.3048402261574734
6.851,0.3227698193316562,0.30981387782878056
6.852,0.32218984264639067,0.3156553042264356
6.853,0.32261563741028537,0.31895091646866663
6.854,0.325400369662872,0.32445224883738744
6.855,0.32789732925940634,0.3312886645634069
6.856,0.3307415652055768,0.3392183121021829
