Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
20260904,0,8.177,0.8840465819514686,7.628260422306369
20260904,1,8.37,0.7132326301776043,7.662494611901816
20260904,2,7.547,0.6944679065692502,7.566724170320122
20260904,3,8.03,0.7415953933229066,7.598449915949711
20260904,4,8.087,0.8205055336485365,7.549261013376038
20260904,5,7.561,0.8510812879364018,7.605135971922534
20260904,6,7.786,0.8272662206930619,7.653791068317705
20260904,7,7.286,0.8516468486656467,7.556641728676512
20260904,8,8.236,0.7385030359992785,7.638973293164078
20260904,9,7.616,0.8704078221920438,7.625656189072038
20260904,10,8.304,0.7988214622389952,7.617171627145434
20260904,11,6.8,0.79569290230336,7.623263767019385
20260904,12,7.749,0.8629811845072164,7.639639390081249
20260904,13,7.536,0.7557737059547066,7.595279793709696
20260904,14,7.093,0.7814941942557476,7.549731637986478
20260904,15,8.139,0.7281714903993923,7.550177381638416
20260904,16,8.099,0.7567086854940627,7.601569841172476
20260904,17,7.732,0.7508724658937197,7.647232517121415
20260904,18,7.435,0.6478285391561494,7.622011243692989
20260904,19,6.991,0.8620578510881933,7.539844246404343
20260904,20,6.811,0.8216570364325041,7.648736696605116
20260904,21,8.291,0.8201545510775134,7.611382230687542
20260904,22,7.197,0.7442487724023782,7.514846129355835
20260904,23,7.811,0.7442339571213079,7.576165243999116
