Station,Frequency_Hz,Mean_PLV,Median_PLV,Hours_Available
IST,6.3,0.45636154793229183,0.46411544430705354,24
IST,6.301,0.4572691352015746,0.469190527826598,24
IST,6.302,0.45833039036766415,0.47266255645921357,24
IST,6.303,0.4608911900751758,0.47278087852206874,24
IST,6.304,0.4629347692550298,0.47236188824947734,24
IST,6.305,0.4637213557942254,0.4765790512768492,24
IST,6.306,0.4634003896973073,0.4757250448660326,24
IST,6.307,0.46277147736256,0.4798393457620699,24
IST,6.308,0.4606543558162464,0.4855586322870291,24
IST,6.309,0.4592113444382271,0.49253244072150926,24
IST,6.31,0.45876054713207637,0.5026099424425285,24
IST,6.311,0.45832319316951436,0.5090652729770886,24
IST,6.312,0.45746228299744934,0.5160149282545727,24
IST,6.313,0.4573101495482786,0.5230827238654892,24
IST,6.314,0.45934220045994584,0.5258983010044654,24
IST,6.315,0.4623364609027773,0.5266284680475765,24
IST,6.316,0.46405839189376413,0.5189695658578846,24
IST,6.317,0.4647979721828932,0.5169552880225341,24
IST,6.318,0.46464749397148125,0.5185081505534921,24
IST,6.319,0.4641882471563293,0.5185167618879115,24
IST,6.32,0.4631764330319168,0.5184553778893177,24
IST,6.321,0.4616239306371493,0.5267401146247437,24
IST,6.322,0.4594226101389211,0.5244238899709717,24
IST,6.323,0.45693367748652536,0.5230537397366523,24
IST,6.324,0.45527811495164694,0.5278228660720821,24
IST,6.325,0.4546997735801557,0.5395107845288778,24
IST,6.326,0.45318308744389607,0.5392871692950785,24
IST,6.327,0.45181121180944994,0.5397450998590916,24
IST,6.328,0.45137710825120253,0.5419465611214382,24
IST,6.329,0.4516933822497957,0.5469535206589458,24
IST,6.33,0.4527013828231125,0.5513239600822204,24
IST,6.331,0.4540489539822928,0.5489660720531906,24
IST,6.332,0.45473864394830904,0.5426168609663482,24
IST,6.333,0.455069198349233,0.5441719779696161,24
IST,6.334,0.4549569273198146,0.5406559123976351,24
IST,6.335,0.45440119890259356,0.5375582130100941,24
IST,6.336,0.4536713328452418,0.5354513482662808,24
IST,6.337,0.45289707719184924,0.5291898032809143,24
IST,6.338,0.451652510919039,0.5154831249656343,24
IST,6.339,0.44945170036394444,0.5013451595526789,24
IST,6.34,0.44779678904688097,0.4878376933397348,24
IST,6.341,0.4467861713455357,0.48065737577154427,24
IST,6.342,0.4462106169475655,0.4739070983441355,24
IST,6.343,0.445278206226899,0.46727420279681553,24
IST,6.344,0.44507642239679335,0.4630569972576881,24
IST,6.345,0.4442097310241324,0.46441330787126445,24
IST,6.346,0.4423324650904135,0.4644484670946909,24
IST,6.347,0.4414638401912223,0.4652424310435743,24
IST,6.348,0.4406610113427814,0.4670237859853001,24
IST,6.349,0.4403515946833039,0.4662597635749517,24
IST,6.35,0.43891131221331353,0.4687233282112432,24
IST,6.351,0.43780936171502377,0.46974547356235913,24
IST,6.352,0.4373008992207681,0.4688855980737352,24
IST,6.353,0.4377509638553725,0.4679399590939486,24
IST,6.354,0.43876725717513526,0.46727490225915647,24
IST,6.355,0.43891883499142387,0.4681304009473488,24
IST,6.356,0.4384327545301429,0.4649058138721185,24
IST,6.357,0.43771541832619865,0.4640812032690912,24
IST,6.358,0.43795503804343755,0.4567727810586093,24
IST,6.359,0.4378227948724149,0.4475681949002732,24
IST,6.36,0.43698689423202025,0.4374888126052917,24
IST,6.361,0.43631143174995274,0.42577308295675553,24
IST,6.362,0.4360348919410417,0.41272806833682985,24
IST,6.363,0.43646265073694934,0.40919292181488176,24
IST,6.364,0.43718357511760225,0.40983155575695723,24
IST,6.365,0.43778782384903464,0.40790377479736173,24
IST,6.366,0.43719971729327556,0.40518531153597137,24
IST,6.367,0.43720944623879215,0.4006229055233557,24
IST,6.368,0.4378925122601058,0.3974306492572217,24
IST,6.369,0.43900591971469066,0.39441640824427515,24
IST,6.37,0.44060747074353096,0.3972227582632471,24
IST,6.371,0.44178169112657795,0.4002101456550121,24
IST,6.372,0.4424224843845362,0.4019076288191969,24
IST,6.373,0.4432917657275364,0.4026975745057433,24
IST,6.374,0.444571685057201,0.4025841451894251,24
IST,6.375,0.44605513171380484,0.408132043780923,24
IST,6.376,0.44678666175252024,0.4187766351515556,24
IST,6.377,0.4475114500091242,0.42247620460928154,24
IST,6.378,0.4484280616925264,0.42091498112871717,24
IST,6.379,0.44969017122940375,0.420413129616392,24
IST,6.38,0.4508450788525537,0.4191734243180171,24
IST,6.381,0.4518466662978666,0.41645997664451995,24
IST,6.382,0.45370112648934063,0.4093078862873245,24
IST,6.383,0.4555156519310364,0.3965405446175253,24
IST,6.384,0.45581177886890806,0.39125036146432957,24
IST,6.385,0.4562088540229144,0.40127944097975704,24
IST,6.386,0.4567263647935806,0.40299650282269406,24
IST,6.387,0.45744065926038857,0.3967564183138284,24
IST,6.388,0.4583501252103928,0.39029264471531505,24
IST,6.389,0.45891256085538235,0.3827287934784411,24
IST,6.39,0.45948894348693153,0.3848472312495584,24
IST,6.391,0.4588019228993286,0.39126023937491805,24
IST,6.392,0.4592765527582401,0.3946056289870127,24
IST,6.393,0.4597636621887391,0.3966045815498678,24
IST,6.394,0.4593580580143877,0.4026891157289081,24
IST,6.395,0.4585934895108885,0.4085120828252002,24
IST,6.396,0.45750223160740283,0.4034306588825446,24
IST,6.397,0.4561593277629778,0.39214451922679683,24
IST,6.398,0.45412917192150154,0.3896520524519006,24
IST,6.399,0.45160164343867226,0.37790856553985125,24
IST,6.4,0.44915085862531096,0.3732488944564508,24
IST,6.401,0.4474453126106431,0.3793644062078637,24
IST,6.402,0.44531997039503407,0.3845690738842935,24
IST,6.403,0.4433069447618594,0.38892748375619157,24
IST,6.404,0.44299148099647495,0.3932437323116236,24
IST,6.405,0.4444404684188521,0.40174357186053367,24
IST,6.406,0.4452197463819119,0.40509976106776246,24
IST,6.407,0.44573694012297227,0.40921599313430446,24
IST,6.408,0.4468077961483284,0.4138678906710481,24
IST,6.409,0.4483895476084538,0.41877428411491796,24
IST,6.41,0.44944229546716147,0.4237536968452589,24
IST,6.411,0.4495202436368891,0.42872204784155954,24
IST,6.412,0.4505726299944539,0.4265020234279921,24
IST,6.413,0.45129346523524605,0.4246843317469451,24
IST,6.414,0.4521415138394766,0.4301713534092324,24
IST,6.415,0.4532832254923264,0.43556291048481427,24
IST,6.416,0.45459050487602176,0.4293061226968278,24
IST,6.417,0.45650006386333586,0.42308646456826426,24
IST,6.418,0.45814116546770417,0.41683939136814707,24
IST,6.419,0.4595448758591825,0.41037603192074495,24
IST,6.42,0.46091556876227363,0.40343570011576235,24
IST,6.421,0.46247192499273715,0.39714666098173435,24
IST,6.422,0.46320179331469746,0.39792320319687846,24
IST,6.423,0.4638696335090488,0.39989402439180366,24
IST,6.424,0.46459420835911486,0.4038705400259378,24
IST,6.425,0.4647407473289129,0.4068512107410368,24
IST,6.426,0.4647173995736189,0.4095162017039114,24
IST,6.427,0.4644485776990151,0.41538218233892243,24
IST,6.428,0.46432093694626486,0.4238251893936555,24
IST,6.429,0.46411526592257646,0.4368940596936341,24
IST,6.43,0.4646115904101651,0.44876127315933967,24
IST,6.431,0.46558031378789827,0.4604257615059121,24
IST,6.432,0.4666941139530083,0.4730682101561603,24
IST,6.433,0.4682667317574208,0.4774725951613594,24
IST,6.434,0.47005185584048154,0.48464602804819884,24
IST,6.435,0.4728406249134494,0.48968464951303575,24
IST,6.436,0.4744476232202371,0.48579584301726736,24
IST,6.437,0.47505297339151675,0.48324704618833103,24
IST,6.438,0.47587250832616496,0.4809770157227259,24
IST,6.439,0.47814528201509465,0.4786815199188601,24
IST,6.44,0.481643150218243,0.4768159489393385,24
IST,6.441,0.48557122490759874,0.4830642854940098,24
IST,6.442,0.48990994975673496,0.49373608681021486,24
IST,6.443,0.4944190472427141,0.5053509114673599,24
IST,6.444,0.49889715583401695,0.5101041434382468,24
IST,6.445,0.5039319502590819,0.5151702360155237,24
IST,6.446,0.5073341829742387,0.5216888868846485,24
IST,6.447,0.5098829010870484,0.5372036220952964,24
IST,6.448,0.5121115681149274,0.5517064501310192,24
IST,6.449,0.5143227708477391,0.5629834627954666,24
IST,6.45,0.516505858582402,0.5704021223814262,24
IST,6.451,0.5183888958142696,0.575913340757295,24
IST,6.452,0.5196204754358752,0.576802221510843,24
IST,6.453,0.5201955957207537,0.5808158261322478,24
IST,6.454,0.520668397828817,0.5841797049185211,24
IST,6.455,0.5220427574959331,0.5858083052557244,24
IST,6.456,0.5237699569863989,0.5865867814012661,24
IST,6.457,0.526298343323521,0.5853352652857851,24
IST,6.458,0.5286046388768127,0.583727646212862,24
IST,6.459,0.5303838357868618,0.5818400833563695,24
IST,6.46,0.5301954627097056,0.5799672148194182,24
IST,6.461,0.5301819095753998,0.5777996144323185,24
IST,6.462,0.5303554577573807,0.5757033404681382,24
IST,6.463,0.5305930739141707,0.5738614324886138,24
IST,6.464,0.53064547964119,0.5723544236193592,24
IST,6.465,0.5305413707577461,0.570573227743685,24
IST,6.466,0.530503001379906,0.5707358575531565,24
IST,6.467,0.5305292062862605,0.5642660043092194,24
IST,6.468,0.5303781397106357,0.5629239579857191,24
IST,6.469,0.5294824399788719,0.5594931202660138,24
IST,6.47,0.5277448107187289,0.5527496993577493,24
IST,6.471,0.5259387717058565,0.5435543858181331,24
IST,6.472,0.5241285911490997,0.5291272050865281,24
IST,6.473,0.5224088115939695,0.516658952673399,24
IST,6.474,0.5218266737269258,0.5139811330071637,24
IST,6.475,0.5219035142272536,0.5064378610934844,24
IST,6.476,0.5205471261610106,0.4990659088004128,24
IST,6.477,0.519196749900452,0.49144625658246177,24
IST,6.478,0.5191768795798122,0.48513392987945547,24
IST,6.479,0.5187433888610036,0.4815244882645997,24
IST,6.48,0.5176943341622355,0.4800057749722392,24
IST,6.481,0.5157464449017252,0.4859481116743034,24
IST,6.482,0.5155316451823474,0.49153209728365627,24
IST,6.483,0.5171828043401949,0.49772937614741863,24
IST,6.484,0.5201554487776963,0.5058342617250502,24
IST,6.485,0.5234382224474146,0.5133326166872072,24
IST,6.486,0.5256564266082984,0.5226547511652417,24
IST,6.487,0.5279821797479897,0.5337189309242347,24
IST,6.488,0.5311628542643761,0.5375185020604832,24
IST,6.489,0.5355036769720799,0.5471133494036221,24
IST,6.49,0.541092852136856,0.5473206097974439,24
IST,6.491,0.5466235360619611,0.5490812013053032,24
IST,6.492,0.5509883795665509,0.5457230976470305,24
IST,6.493,0.5543864392336104,0.5377224879259603,24
IST,6.494,0.5574447266469569,0.532931656055966,24
IST,6.495,0.5595143435023276,0.540848363113436,24
IST,6.496,0.5607896725163249,0.5486532452066761,24
IST,6.497,0.5614115878715064,0.5562548747758413,24
IST,6.498,0.5615584078513595,0.5638997958788036,24
IST,6.499,0.5609796016663073,0.571605595490336,24
IST,6.5,0.5610652375362065,0.5698535953275832,24
IST,6.501,0.561611359348454,0.5675573825338227,24
IST,6.502,0.5634057205178215,0.5650744572715745,24
IST,6.503,0.5656902251675672,0.5624795069885005,24
IST,6.504,0.567384615457115,0.5602055711312883,24
IST,6.505,0.568162282060761,0.558073722130207,24
IST,6.506,0.5675176286179328,0.5563132128440658,24
IST,6.507,0.5669984314588729,0.5552694584839948,24
IST,6.508,0.566511342659196,0.5555672518820114,24
IST,6.509,0.564700242699231,0.5595935209020597,24
IST,6.51,0.5619781109681167,0.5671242641876323,24
IST,6.511,0.5592189195053885,0.5696907358706416,24
IST,6.512,0.556407173978266,0.573546015671976,24
IST,6.513,0.5520219511379669,0.5790817386447502,24
IST,6.514,0.5476923320253732,0.5754935442683499,24
IST,6.515,0.5433587532780618,0.5648771727564135,24
IST,6.516,0.5388402576154288,0.5478388547505446,24
IST,6.517,0.533940468218424,0.5433551514691645,24
IST,6.518,0.5304878465954511,0.5446645183545876,24
IST,6.519,0.5284490505041258,0.5506999725359101,24
IST,6.52,0.527318983427407,0.5595997973366438,24
IST,6.521,0.5273397386081384,0.5663455428636637,24
IST,6.522,0.5285093672972544,0.5691113720413749,24
IST,6.523,0.5302742535710118,0.5711315621922737,24
IST,6.524,0.5326542918014198,0.5724751647496338,24
IST,6.525,0.5345737926408111,0.5732053777902677,24
IST,6.526,0.5368086144073747,0.5736215141777636,24
IST,6.527,0.5396417688174105,0.5774256366759568,24
IST,6.528,0.5433224590669788,0.578267091056089,24
IST,6.529,0.5474613648604288,0.5791969489534041,24
IST,6.53,0.5523310945907214,0.5859772916884122,24
IST,6.531,0.5575291185963325,0.5883601514563686,24
IST,6.532,0.561805322601182,0.5891904246599904,24
IST,6.533,0.5647643063282682,0.5894177498230599,24
IST,6.534,0.5671372358917742,0.5905238550531388,24
IST,6.535,0.5706943270885634,0.6074997825291133,24
IST,6.536,0.5743595473731924,0.6197126792002146,24
IST,6.537,0.5778031900533016,0.6297324622393898,24
IST,6.538,0.5813452731543384,0.6351153022492679,24
IST,6.539,0.5848401686218091,0.6346462558570116,24
IST,6.54,0.5878113228178469,0.6325539628102779,24
IST,6.541,0.5892643427650335,0.6290500661061971,24
IST,6.542,0.5899700523763283,0.6302771204494739,24
IST,6.543,0.5901758990975737,0.6324362292061485,24
IST,6.544,0.5901374745551365,0.6322605380411697,24
IST,6.545,0.5898821255176477,0.6272469644584204,24
IST,6.546,0.5898815855517849,0.6226510330192631,24
IST,6.547,0.5894666025705025,0.612291711953038,24
IST,6.548,0.5875166814822506,0.5996141805269063,24
IST,6.549,0.5859646233950153,0.5921846952541863,24
IST,6.55,0.5840763959146016,0.5912516500138143,24
IST,6.551,0.5816245750627224,0.5893821892376797,24
IST,6.552,0.5782039407815961,0.586234436273005,24
IST,6.553,0.5739396798309556,0.5797506213420633,24
IST,6.554,0.5695517523243278,0.5744724978283291,24
IST,6.555,0.5660729611757253,0.57444693148692,24
IST,6.556,0.5628777966140329,0.5724626539636984,24
IST,6.557,0.559716046061344,0.5656463543247284,24
IST,6.558,0.5566773405251567,0.5647359526972444,24
IST,6.559,0.5537207136258265,0.5618785812382474,24
IST,6.56,0.5507945833755045,0.5568106515533177,24
IST,6.561,0.5478493532587151,0.5533993970112703,24
IST,6.562,0.5453961677037955,0.5501377780652026,24
IST,6.563,0.5428606849607404,0.5431250162920072,24
IST,6.564,0.540361850662147,0.5370396576144432,24
IST,6.565,0.5380152952078304,0.5318184924774703,24
IST,6.566,0.5340148059223698,0.5343232394475146,24
IST,6.567,0.5305580293412564,0.5363809564105078,24
IST,6.568,0.5269065637288958,0.5398972997971921,24
IST,6.569,0.5233770736852156,0.5451898133690369,24
IST,6.57,0.5206113468913106,0.5662824580755053,24
IST,6.571,0.5195218279405716,0.5559429310735,24
IST,6.572,0.5204754716144383,0.5407255441810959,24
IST,6.573,0.5216575927574845,0.5384078295189062,24
IST,6.574,0.5233935924816239,0.5367310215296381,24
IST,6.575,0.5245818554523276,0.5274000416969895,24
IST,6.576,0.5257931357869349,0.525811942056222,24
IST,6.577,0.5267786454774784,0.5241323505254626,24
IST,6.578,0.5281290417759424,0.5250348811953881,24
IST,6.579,0.5291799552198339,0.5300633215858022,24
IST,6.58,0.5290544062656553,0.5285856017058537,24
IST,6.581,0.5283450779294628,0.5261844469750823,24
IST,6.582,0.526520364122459,0.5221294754929497,24
IST,6.583,0.5247046030715716,0.5194691479286688,24
IST,6.584,0.5223829163456902,0.5180431550936933,24
IST,6.585,0.5191559226968392,0.5174790333379771,24
IST,6.586,0.5160826318946633,0.5167822254565833,24
IST,6.587,0.5141443721371476,0.5146330865090106,24
IST,6.588,0.5128971334371158,0.5137372736426331,24
IST,6.589,0.5114056088234272,0.5140036440419491,24
IST,6.59,0.5100204292649154,0.5150073656157172,24
IST,6.591,0.5088499266774754,0.5166858868815551,24
IST,6.592,0.5080373407651885,0.519038219027228,24
IST,6.593,0.5078795234776206,0.5221982440077277,24
IST,6.594,0.5078919627790385,0.5203138559154559,24
IST,6.595,0.5078212853671861,0.5134098681723769,24
IST,6.596,0.5078610500668511,0.5057614763045868,24
IST,6.597,0.5077755646786822,0.4970718828150459,24
IST,6.598,0.5077003385009071,0.49872387302715127,24
IST,6.599,0.5074015815428388,0.5095076971385952,24
IST,6.6,0.5062021876615673,0.5055867816514303,24
IST,6.601,0.5046347876109606,0.5009062535295534,24
IST,6.602,0.5025455311613233,0.49456052082954916,24
IST,6.603,0.49969848373791437,0.4843184340644252,24
IST,6.604,0.4986466974690244,0.47730522202233105,24
IST,6.605,0.4984124949341115,0.4677113781056018,24
IST,6.606,0.49757177952621295,0.4637323720194151,24
IST,6.607,0.4969530247647507,0.46446521135314256,24
IST,6.608,0.49522195652011164,0.4627023610155594,24
IST,6.609,0.4920274840863879,0.4775521423002028,24
IST,6.61,0.48919625598722516,0.5001612477082155,24
IST,6.611,0.48809817826721974,0.5048845158241738,24
IST,6.612,0.48879007014260667,0.5091557655751924,24
IST,6.613,0.490692498284278,0.5130098199050073,24
IST,6.614,0.4937116154690948,0.5164833998743537,24
IST,6.615,0.4965011392181198,0.519596582826894,24
IST,6.616,0.4994075872493429,0.5142507310754902,24
IST,6.617,0.50218020075989,0.5129871819114178,24
IST,6.618,0.5040116064594052,0.5158380662132449,24
IST,6.619,0.5054159345093999,0.5173887716297663,24
IST,6.62,0.5077572090986542,0.5180185232246416,24
IST,6.621,0.5105259737883148,0.5113286935635795,24
IST,6.622,0.5126044065588733,0.5167129525502172,24
IST,6.623,0.5138246386853665,0.5150807930232746,24
IST,6.624,0.5128595776076107,0.5098719173567465,24
IST,6.625,0.5107337690794173,0.4900990682111186,24
IST,6.626,0.5076237449778351,0.47997668350775025,24
IST,6.627,0.5048295161331537,0.47232172409086937,24
IST,6.628,0.5025326424033378,0.4663212407481099,24
IST,6.629,0.5003611742216,0.45815907103770215,24
IST,6.63,0.4980270805037647,0.45343089843409456,24
IST,6.631,0.4960839638572092,0.455224533510182,24
IST,6.632,0.49467183297874556,0.45601837925748445,24
IST,6.633,0.4939583034098562,0.45860748570208365,24
IST,6.634,0.4924590695270559,0.4621929582143656,24
IST,6.635,0.49080392850065796,0.4662209509561388,24
IST,6.636,0.4902233279209503,0.4707352660244797,24
IST,6.637,0.49105563747631376,0.47574212028016816,24
IST,6.638,0.49288128711636164,0.47938362868712475,24
IST,6.639,0.4944766334097798,0.477098064734361,24
IST,6.64,0.4958018362623032,0.47465918922919936,24
IST,6.641,0.4971947273310445,0.4714065033740181,24
IST,6.642,0.49902803906520465,0.47247859238417744,24
IST,6.643,0.5012448745920194,0.47791820901614135,24
IST,6.644,0.5036000035454538,0.49657093172528,24
IST,6.645,0.5058572927743974,0.5125921677214635,24
IST,6.646,0.5088088238716656,0.5252025428669765,24
IST,6.647,0.5118671186057372,0.5358377882223908,24
IST,6.648,0.5132565824744834,0.5422134405164707,24
IST,6.649,0.5139715806951212,0.5445904694410453,24
IST,6.65,0.5152996416277299,0.5475332677980678,24
IST,6.651,0.5166198066957851,0.5516877193593361,24
IST,6.652,0.5171540363095649,0.5508828475466969,24
IST,6.653,0.5168686386229048,0.5567769708404191,24
IST,6.654,0.515777497823951,0.5603380604444288,24
IST,6.655,0.5140323211215426,0.5629822700591658,24
IST,6.656,0.5116554496037748,0.5649354730467546,24
IST,6.657,0.5088777117621278,0.5618901494141526,24
IST,6.658,0.5055543253475705,0.5611021328551893,24
IST,6.659,0.5024472364156952,0.5607859557949824,24
IST,6.66,0.4994149996736823,0.5599527086573177,24
IST,6.661,0.4957793536231012,0.55691874161686,24
IST,6.662,0.4916878141253438,0.5523224550285559,24
IST,6.663,0.4872003670625933,0.5410777646291527,24
IST,6.664,0.4825128584088707,0.5196626273768934,24
IST,6.665,0.4767218188815618,0.499361531086694,24
IST,6.666,0.4714383605290458,0.48206101099494847,24
IST,6.667,0.46675477271274796,0.46611931850184785,24
IST,6.668,0.46296108526878604,0.44972450378223583,24
IST,6.669,0.4582971852863647,0.43721128768192336,24
IST,6.67,0.4538762351536059,0.4308661726448736,24
IST,6.671,0.44963915509464,0.42731520496654285,24
IST,6.672,0.44666295468059736,0.4282624071773975,24
IST,6.673,0.4449916268409562,0.42621303641748176,24
IST,6.674,0.445193094099249,0.42552822377321164,24
IST,6.675,0.44722756976363415,0.4273982780883108,24
IST,6.676,0.44951328356336506,0.43033513724443695,24
IST,6.677,0.4528335375141101,0.42997942916570514,24
IST,6.678,0.4558346632296038,0.4457566008928196,24
IST,6.679,0.45748520480255106,0.4553588348687308,24
IST,6.68,0.45878186413254957,0.4606655112001833,24
IST,6.681,0.46001475086058613,0.4632117084178376,24
IST,6.682,0.46048296469995725,0.45114681621517805,24
IST,6.683,0.4597232535825109,0.43187123436089514,24
IST,6.684,0.4579050655267131,0.4399611937024217,24
IST,6.685,0.4562415145087846,0.44586603164620164,24
IST,6.686,0.45466748821123487,0.45023794306115966,24
IST,6.687,0.4531920815728079,0.4514357886196534,24
IST,6.688,0.4515883910967116,0.44697759952511223,24
IST,6.689,0.4501633561618656,0.44372020141032864,24
IST,6.69,0.45016108517592257,0.44447819537177524,24
IST,6.691,0.4510770378484552,0.44512769158649257,24
IST,6.692,0.4525177197872225,0.4447273960799621,24
IST,6.693,0.45347765704235626,0.4437837025593925,24
IST,6.694,0.454096737630276,0.4470061844268598,24
IST,6.695,0.4542049049015862,0.4593408726304653,24
IST,6.696,0.45444794052833154,0.4704831255019921,24
IST,6.697,0.45473072063896075,0.47647499324480447,24
IST,6.698,0.454653636360635,0.47809257768818525,24
IST,6.699,0.45487501009890613,0.47905615399773493,24
IST,6.7,0.45545404722097554,0.4791970595247633,24
IST,6.701,0.4561346319980148,0.4785772589106486,24
IST,6.702,0.45630564848652694,0.4770836761728749,24
IST,6.703,0.4568361931649572,0.47474336172609743,24
IST,6.704,0.4574471732197924,0.473277597257345,24
IST,6.705,0.4578192738049731,0.482160385033633,24
IST,6.706,0.4580753656378938,0.4899616089375397,24
IST,6.707,0.4575714726652936,0.49851262317796347,24
IST,6.708,0.4572388064108936,0.5046381710535828,24
