Station,UTC_Hour,Peak_Hz,Peak_PLV,Weighted_Center_Hz
IST,2017-03-28T00,8.084,0.8232957722310597,7.56747689072875
IST,2017-03-28T01,8.207,0.8759691198265823,7.36488566072083
IST,2017-03-28T02,7.671,0.8890663933302833,7.329493676971115
IST,2017-03-28T03,6.893,0.9063151956438191,7.470025447013829
IST,2017-03-28T04,6.312,0.6972176594168004,7.532499729850458
IST,2017-03-28T05,7.616,0.8897262380209868,7.5821705842761595
IST,2017-03-28T06,7.539,0.9155380119773081,7.456268571492575
IST,2017-03-28T07,7.735,0.9257757452901607,7.474923588131339
IST,2017-03-28T08,7.219,0.8885872189834538,7.3200816806382845
IST,2017-03-28T09,6.635,0.8399265953474073,7.440863463174752
IST,2017-03-28T10,8.45,0.8085368643550652,7.460108685487344
IST,2017-03-28T11,7.208,0.8638799486338385,7.588642009983897
IST,2017-03-28T12,6.408,0.941270768222887,7.2404548115731435
IST,2017-03-28T13,7.254,0.9353461953302695,7.382619849318439
IST,2017-03-28T14,8.248,0.9683696294506283,7.47254130070432
IST,2017-03-28T15,7.286,0.9520402650359602,7.432478412795888
IST,2017-03-28T16,7.738,0.9563343600098169,7.383565091803475
IST,2017-03-28T17,6.65,0.9468230309346396,7.279385691922426
IST,2017-03-28T18,7.239,0.8949024816335572,7.5195806535379175
IST,2017-03-28T19,7.898,0.9319233976147986,7.488403277556008
IST,2017-03-28T20,7.623,0.9287372188266497,7.435469553387957
IST,2017-03-28T21,7.486,0.9086835382343896,7.3618720032665115
IST,2017-03-28T22,8.141,0.9414050553487644,7.587229158144119
IST,2017-03-28T23,6.555,0.9322388267761486,7.244441737776876
