Station,Start_Hz,End_Hz,Center_Hz,Width_Hz,Peak_Hz,Peak_Mean_PLV,Peak_Hours_Active,Integrated_PLV_Score,Local_Prominence_pct,Classification,Dynamic_Score_Threshold
KNG,1.6,1.7,1.65,0.09999999999999987,1.7,0.22554925112194715,5,33.12582851216164,21.059360577997115,Phase Coherent Band,13.298305151049824
KNG,1.9,2.2,2.05,0.30000000000000027,2.0,0.24704066004676697,7,81.75979658617712,45.64756323724393,Sharp Carrier Peak,13.298305151049824
KNG,4.0,4.0,4.0,0.0,4.0,0.19606581453741248,3,10.555512721841371,65.89082049032754,Sharp Carrier Peak,13.298305151049824
KNG,5.1,5.1,5.1,0.0,5.1,0.21001291388106103,4,14.526245444513803,78.45950191968869,Sharp Carrier Peak,13.298305151049824
KNG,6.6,6.6,6.6,0.0,6.6,0.216688101205151,4,15.500073654085393,37.608925043120436,Sharp Carrier Peak,13.298305151049824
KNG,7.9,8.1,8.0,0.1999999999999993,7.9,0.2369448864233814,7,66.1239525466645,57.31029625769739,Sharp Carrier Peak,13.298305151049824
KNG,9.0,9.3,9.15,0.3000000000000007,9.1,0.2452099610790978,7,82.60540490612526,48.26369422152281,Sharp Carrier Peak,13.298305151049824
