Station,Usable_Hourly_Windows,Valid_Hourly_WCenters,Search_Min_Hz,Search_Max_Hz,Frequency_Step_Hz,Bandpass_Width_Hz,Aggregate_Peak_Mean_PLV_Hz,Aggregate_Peak_Mean_PLV,Aggregate_Peak_Median_PLV_Hz,Aggregate_Peak_Median_PLV,Weighted_Center_Mean_Profile_Hz,Weighted_Center_Median_Profile_Hz,Hourly_Peak_Mean_Hz,Hourly_Peak_Median_Hz,Hourly_Peak_MAD_Hz,Hourly_Peak_STD_Hz,Hourly_Peak_Q05_Hz,Hourly_Peak_Q95_Hz,Hourly_WCenter_Mean_Hz,Hourly_WCenter_Median_Hz,Hourly_WCenter_MAD_Hz,Hourly_WCenter_STD_Hz,Hourly_WCenter_Q05_Hz,Hourly_WCenter_Q95_Hz
FCHU,24,24,6.8,8.4,0.001,0.1,7.807,0.6077138317985763,7.423,0.6918512809429753,7.59291512657598,7.611429581145863,7.529291666666666,7.49,0.27849999999999975,0.4315538637514912,6.9507,8.264700000000001,7.599662619394217,7.5965180899412434,0.03050485742960296,0.03897685548524487,7.535640815116716,7.658211275550572
FSMI,24,24,6.8,8.4,0.001,0.1,8.082,0.42976386480942336,8.126,0.4722116413818987,7.596043882021564,7.588360623351307,7.6029583333333335,7.694,0.32050000000000045,0.43382329393696556,6.9289,8.088,7.5998862544870045,7.602907636975953,0.03418752334418684,0.04335126939187956,7.537618277202965,7.658645608781165
ISLL,15,15,6.8,8.4,0.001,0.1,7.738,0.5028555192679659,7.735,0.5512423325281389,7.566460429233746,7.547798007814415,7.646533333333332,7.731,0.6330000000000009,0.5974054457959576,6.8481,8.3724,7.58293066639278,7.583818004591271,0.046646872961554564,0.054144505682165174,7.502737433676279,7.6436049504874415
MSTK,24,24,6.8,8.4,0.001,0.1,7.552,0.42002432694193836,7.217,0.4526878831128961,7.603963879349883,7.594384147872034,7.695166666666666,7.7405,0.37849999999999984,0.4824645665445438,6.838,8.30205,7.600935005484434,7.608259101305038,0.031737073041066655,0.04141195094583146,7.541256761450097,7.653032912560817
PINA,24,23,6.8,8.4,0.001,0.1,7.705,0.5986611636252155,7.724,0.6474940664454747,7.533167564155129,7.53174314708133,7.589541666666666,7.6705000000000005,0.37500000000000044,0.4277437244900032,7.02905,8.2341,7.584724614030281,7.5803595158239565,0.036281816815578516,0.04803544157695398,7.515507905245686,7.67358490978146
