Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
20260904,0,8.195,0.9440000588908929,7.6038455564942975
20260904,1,7.022,0.9677558369239424,7.536011146076243
20260904,2,6.8,1.0,
20260904,3,7.198,0.8088098618965883,7.544077699008378
20260904,4,8.241,0.9350686119184108,7.637608824009242
20260904,5,7.704,0.8711526882840186,7.564602001722619
20260904,6,7.83,0.8287395871445908,7.532246962513615
20260904,7,7.546,0.901584595886434,7.631407229413379
20260904,8,7.694,0.8753268657517154,7.560558386013367
20260904,9,7.848,0.8360410053314323,7.5590820792518505
20260904,10,7.687,0.893425904899059,7.571744126198716
20260904,11,7.294,0.8944021025615292,7.594663492635547
20260904,12,7.069,0.9077001626308775,7.580055687664375
20260904,13,7.426,0.8698714057371577,7.507512384839173
20260904,14,7.132,0.8865292333575244,7.6246581244624565
20260904,15,8.319,0.874436037651448,7.625001381612413
20260904,16,8.044,0.8695848550220072,7.604609258239845
20260904,17,7.755,0.881919890026898,7.677582252645039
20260904,18,8.167,0.950015537355379,7.692052799027441
20260904,19,7.38,0.9698585176879619,7.584810904829299
20260904,20,7.807,0.8651003771672903,7.5803595158239565
20260904,21,7.254,0.8984069166231061,7.513648009993694
20260904,22,7.654,0.930378184638938,7.581500307472702
20260904,23,7.083,0.8969986852177486,7.541027992748802
