Station,Pair,Start_Hz,End_Hz,Center_Hz,Width_Hz,Peak_Hz,Peak_Mean_PLV,Peak_Hours_Active,Integrated_PLV_Score,Local_Prominence_pct,Classification,Dynamic_Score_Threshold
IST,H-D,2.398,2.443,2.4205,0.04499999999999993,2.428,0.32783850423633115,4,646.1680422441807,12.06192638667655,Phase Coherent Band,11.254706520946907
IST,H-D,2.503,2.535,2.519,0.03200000000000003,2.504,0.33059425296962713,3,557.2864618673447,8.728171460833284,Phase Coherent Band,11.254706520946907
IST,H-D,2.885,2.889,2.8869999999999996,0.0040000000000000036,2.889,0.28845383954378034,2,56.51092152553541,13.852858640661337,Phase Coherent Band,11.254706520946907
IST,H-D,2.972,2.972,2.972,0.0,2.972,0.32928420761885996,2,10.84060144795156,10.317450584868757,Phase Coherent Band,11.254706520946907
IST,H-D,2.987,3.018,3.0025,0.030999999999999694,3.003,0.33833333151905537,2,363.85404903903463,0.025845454704162885,Phase Coherent Band,11.254706520946907
IST,H-D,4.159,4.159,4.159,0.0,4.159,0.30473211679759404,2,10.83794503481662,14.446233653939322,Phase Coherent Band,11.254706520946907
IST,H-D,4.191,4.208,4.1995000000000005,0.017000000000000348,4.199,0.3094180111730556,3,254.42208559886026,5.608803853901129,Phase Coherent Band,11.254706520946907
IST,H-D,4.21,4.21,4.21,0.0,4.21,0.31098609568937524,2,10.74150364201801,16.532406080169952,Phase Coherent Band,11.254706520946907
IST,H-D,4.361,4.361,4.361,0.0,4.361,0.3037142415108796,2,10.825420182354675,12.968784985328512,Phase Coherent Band,11.254706520946907
IST,H-D,4.376,4.378,4.377000000000001,0.0019999999999997797,4.377,0.31724088130439637,2,33.80435336358267,0.1366395014666551,Phase Coherent Band,11.254706520946907
IST,H-D,4.407,4.407,4.407,0.0,4.407,0.33255721439604347,2,10.765860012284186,13.021534231778677,Phase Coherent Band,11.254706520946907
IST,H-D,4.534,4.538,4.536,0.004000000000000448,4.537,0.324037199401763,2,64.40345917996285,12.013358108013065,Phase Coherent Band,11.254706520946907
IST,H-D,4.558,4.731,4.6445,0.17300000000000004,4.651,0.308589648158836,3,2433.429547223143,0.013442669878244612,Phase Coherent Band,11.254706520946907
IST,H-D,4.755,4.821,4.788,0.06599999999999984,4.787,0.2784292483082404,2,795.7967003603818,8.769868337386448,Phase Coherent Band,11.254706520946907
IST,H-D,4.895,4.958,4.9265,0.06300000000000061,4.905,0.2828588235280775,2,755.7178092933202,7.604921551671512,Phase Coherent Band,11.254706520946907
IST,H-D,5.407,5.407,5.407,0.0,5.407,0.3361486905716946,2,10.842429617518981,60.39436013705665,Sharp Carrier Peak,11.254706520946907
IST,H-D,6.089,6.089,6.089,0.0,6.089,0.3618672546414859,2,10.790376445461218,11.82577943016054,Phase Coherent Band,11.254706520946907
IST,H-D,6.092,6.092,6.092,0.0,6.092,0.36226004721853927,2,10.819485241345745,11.83423199178579,Phase Coherent Band,11.254706520946907
IST,H-D,6.321,8.267,7.294,1.9459999999999997,7.603,0.5393614844322122,18,94838.91111716977,1.5117250570071483,Phase Coherent Band,11.254706520946907
IST,H-D,8.284,8.314,8.299,0.02999999999999936,8.286,0.38389779823785625,3,456.4612573904178,5.904792667063444,Phase Coherent Band,11.254706520946907
