Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.802,0.46114607227056537,4.611460722705654
IST,2017-03-28T00,H-D,1.803,0.46105295346379616,4.610529534637962
IST,2017-03-28T00,H-D,1.804,0.4608929918625342,4.608929918625342
IST,2017-03-28T00,H-D,1.805,0.460384434123893,4.60384434123893
IST,2017-03-28T00,H-D,1.806,0.46013010989353315,4.601301098935331
IST,2017-03-28T00,H-D,1.807,0.4598518404100104,4.598518404100104
IST,2017-03-28T00,H-D,1.808,0.45956943228276526,4.595694322827653
IST,2017-03-28T00,H-D,1.809,0.4595695631603606,4.595695631603606
IST,2017-03-28T00,H-D,1.81,0.4596571937135907,4.5965719371359075
IST,2017-03-28T00,H-D,1.811,0.45984843065601694,4.598484306560169
IST,2017-03-28T00,H-D,1.812,0.46022486459858625,4.6022486459858625
IST,2017-03-28T00,H-D,1.813,0.460711052682914,4.60711052682914
IST,2017-03-28T00,H-D,1.814,0.46086881616828873,4.608688161682887
IST,2017-03-28T00,H-D,1.815,0.4608650060051617,4.608650060051617
IST,2017-03-28T00,H-D,1.816,0.46074392463203334,4.607439246320333
IST,2017-03-28T00,H-D,1.817,0.4604502056118988,4.604502056118988
IST,2017-03-28T00,H-D,1.818,0.46002371364289096,4.60023713642891
IST,2017-03-28T00,H-D,1.819,0.45980213009197274,4.5980213009197275
IST,2017-03-28T00,H-D,1.82,0.4595875208682577,4.595875208682577
IST,2017-03-28T00,H-D,1.821,0.45938299003514105,4.593829900351411
IST,2017-03-28T00,H-D,1.822,0.4591742109488897,4.591742109488897
IST,2017-03-28T00,H-D,1.823,0.45895215667975425,4.589521566797543
IST,2017-03-28T00,H-D,1.824,0.45871061929614243,4.587106192961424
IST,2017-03-28T00,H-D,1.825,0.45844553137379535,4.584455313737953
IST,2017-03-28T00,H-D,1.826,0.45815453311297516,4.581545331129751
IST,2017-03-28T00,H-D,1.827,0.4578361882390908,4.578361882390908
IST,2017-03-28T00,H-D,1.828,0.45749175532128267,4.574917553212827
IST,2017-03-28T00,H-D,1.829,0.45712350439033805,4.57123504390338
IST,2017-03-28T00,H-D,1.83,0.45671559100624776,4.5671559100624775
IST,2017-03-28T00,H-D,1.831,0.45629270782016856,4.562927078201685
IST,2017-03-28T00,H-D,1.832,0.4559270524344039,4.559270524344039
IST,2017-03-28T00,H-D,1.833,0.4553743598077317,4.553743598077317
IST,2017-03-28T00,H-D,1.834,0.4547517996067116,4.547517996067116
IST,2017-03-28T00,H-D,1.835,0.4545796386336956,4.545796386336956
IST,2017-03-28T00,H-D,1.836,0.45414267984930656,4.541426798493066
IST,2017-03-28T00,H-D,1.837,0.45360137273208495,4.536013727320849
IST,2017-03-28T00,H-D,1.838,0.45304322773595335,4.530432277359534
