Date,Hour_UTC,Peak_Hz,Peak_PLV,Weighted_Center_Hz
20260904,0,6.825,0.8040727856929945,7.5223293722407805
20260904,1,6.977,0.7903685740410467,7.529952982905983
20260904,2,8.364,0.7326260033746627,7.583818004591271
20260904,3,8.392,0.8652553428791566,7.6027510466235215
20260904,4,8.161,0.6973372043041703,7.592931328071467
20260904,5,7.676,0.8221258088756923,7.563116746039491
20260904,6,7.737,0.7127609942731923,7.565174191385548
20260904,7,6.858,0.7843564457882652,7.4570229103591075
20260904,8,8.032,0.8196248825608092,7.639170240332256
20260904,9,7.731,0.7812002428933301,7.638663487226976
20260904,10,7.425,0.8157612837586862,7.564263349731422
20260904,11,7.014,0.8873953976097628,7.630464877552826
20260904,12,8.194,0.7424800058171621,7.6535475949814415
20260904,13,6.948,0.8854475740951511,7.561410046716737
20260904,23,8.364,0.7446620257815922,7.63934381713287
