Frequency_Hz,Mean_PLV,Median_PLV
6.8,0.3588058919031051,0.2988965768506581
6.801,0.36561994419523547,0.3090505103066466
6.802,0.3733923110307691,0.2958793335400368
6.803,0.38234333351521366,0.3025600233654544
6.804,0.3889257527389796,0.3211265373446521
6.805,0.3948118137520961,0.3243907069030563
6.806,0.40063884447206977,0.32259739087085454
6.807,0.4047517058170715,0.31865330376144413
6.808,0.4086090138380636,0.321134208178412
6.809,0.41245883173072595,0.3294390345056187
6.81,0.4148287516163443,0.34027532544885963
6.811,0.4156262388474951,0.35146730286814937
6.812,0.4167599577567084,0.3616880395444997
6.813,0.4177933972302281,0.37370873642249175
6.814,0.41834628007877167,0.39000873812792314
6.815,0.4190092738271494,0.4016686259004422
6.816,0.4196157810637263,0.4051912111455052
6.817,0.4199870522162382,0.4045834181645069
6.818,0.4199919824132537,0.40099398928031194
6.819,0.42013888936678245,0.3948360975705195
6.82,0.41943927566187855,0.39357522044031
6.821,0.4193073609234311,0.37951771616181185
6.822,0.4196905424612367,0.3795288767995428
6.823,0.4197491047223106,0.39265559904177555
6.824,0.41955535620233564,0.3941688265357665
6.825,0.4195552912962005,0.39613175288488556
6.826,0.41876175367246227,0.3984971099371553
6.827,0.41703596153993716,0.4012091625936209
6.828,0.4157336386451271,0.4041920247743486
6.829,0.4145326123599903,0.40970128499939246
6.83,0.4129550406801711,0.4186033007945018
6.831,0.4125847695921111,0.42829211447453175
6.832,0.4133688368080673,0.43806204362101814
6.833,0.4151112419792227,0.43793998083247954
6.834,0.417316958799124,0.43631281402577365
6.835,0.419912573388473,0.4366848660881907
6.836,0.4234428850118779,0.4390544600326279
6.837,0.42734355728110096,0.44358103219180983
6.838,0.4297411570092399,0.45072829520230995
6.839,0.43154478116259054,0.4600609337207855
6.84,0.433957652607816,0.45681717149919965
6.841,0.43518182230105645,0.4526812890249305
6.842,0.43590126280118535,0.4482571501722199
6.843,0.43608209390273217,0.44369462205381344
6.844,0.43580639515106184,0.4380105065727328
6.845,0.43711273676934465,0.43092213567874366
6.846,0.4390367576082557,0.42133865034534956
6.847,0.4423537706102302,0.4135350217770786
6.848,0.4450936483750406,0.4290897064163169
6.849,0.44750408988555007,0.4507946208800329
6.85,0.44992330203778025,0.47265223297301884
6.851,0.4522657347641338,0.4976458032405044
6.852,0.4535353383857937,0.519676399729444
6.853,0.4536746852986437,0.5369731279462723
6.854,0.45426876396214627,0.542880773882668
6.855,0.4550580994815947,0.5340483195701606
6.856,0.4555684232221037,0.5228997279779048
6.857,0.45681935370760746,0.5083956873973833
6.858,0.4581897486733217,0.4904505335767571
6.859,0.4589558391298018,0.46807883854254356
6.86,0.45801317040346146,0.46571874754992315
6.861,0.4558677481484182,0.47045256233583593
6.862,0.45379083287524524,0.45705656517136284
6.863,0.45103566421650093,0.4807762500947645
6.864,0.4487384237520876,0.4933884774018117
6.865,0.44706994042944825,0.49696848682571626
6.866,0.4444364712613496,0.4994186016706262
6.867,0.44143660206658564,0.5008372186055101
6.868,0.43790683442516337,0.5014477734142971
6.869,0.4345048701472983,0.4953667067804554
6.87,0.4319412900810421,0.4883952028447273
6.871,0.42983651486888624,0.481759023739569
6.872,0.4280983469482854,0.475482817452514
6.873,0.42531483069579473,0.4696086116528991
6.874,0.4234395402176356,0.4641837718611132
6.875,0.42110922537023965,0.45919243442472385
6.876,0.41799331271311363,0.45454678806258053
6.877,0.41422100669718,0.4501298358850276
6.878,0.4099256590378474,0.4458311632706113
6.879,0.4053900497059175,0.4415735725203673
6.88,0.40167821238509993,0.43719457460512584
6.881,0.3979976236074076,0.4378585041073458
6.882,0.39410700735703647,0.42965781607965564
6.883,0.39033865100812803,0.44312947252034446
6.884,0.387508475516977,0.44097036176481463
6.885,0.38477421168242076,0.42979467928599746
6.886,0.3812428404867792,0.4166174736399142
6.887,0.37757299853223775,0.40513235523950436
6.888,0.3741150635859524,0.39545951027067944
6.889,0.37125624540852104,0.3961297210510455
6.89,0.3696571474105321,0.39792637081946275
6.891,0.3698790336274361,0.3901513076425189
6.892,0.3712828359846783,0.3779914834151176
6.893,0.37245422752370644,0.3655367914404268
6.894,0.3735396451883124,0.35459987142851634
6.895,0.37413613166831267,0.34637906481143405
6.896,0.37445596507552037,0.34958157455804467
6.897,0.37396330281752654,0.33751326952299265
6.898,0.3734197214325486,0.33987765490928196
6.899,0.37401700881697053,0.3308193139784752
6.9,0.37496488889464147,0.3282204674197237
6.901,0.37606054183169474,0.326071010330437
6.902,0.3748773712953656,0.3243266057480298
6.903,0.3731279564622813,0.32293902392883794
6.904,0.37057633009239355,0.3218578415300948
6.905,0.3669694118255242,0.32103111449859834
6.906,0.36463269510131724,0.32040390998591534
6.907,0.36247461917821217,0.3199143630789038
6.908,0.3606958247736352,0.31949187883119656
6.909,0.35850134951173546,0.31906934085869715
6.91,0.35767192877580783,0.3186072395279845
6.911,0.3576704725024285,0.318101408391144
6.912,0.35687879735034245,0.3175725226067742
6.913,0.3561209364149453,0.31706646289905466
6.914,0.35550336468229593,0.3166803697383325
6.915,0.35542228121552455,0.31666667420851724
6.916,0.3555677878041058,0.31780570429924776
6.917,0.35520110055154375,0.3199432575081679
6.918,0.35515048549331396,0.3227330033193868
6.919,0.35521591927472745,0.32608020139875066
6.92,0.35475479340236,0.3299453861354926
6.921,0.35466944281139284,0.33430720769810446
6.922,0.3549077654721811,0.33914636425915695
6.923,0.35490192073193827,0.3343980305582807
6.924,0.35560148324540375,0.32516178545933905
6.925,0.3566077449448478,0.33268044840636024
6.926,0.35868237476218817,0.34191580196426136
6.927,0.3609304092619522,0.34957425447492735
6.928,0.3619809166372944,0.3544635792939876
6.929,0.36341910511189807,0.35991349849851156
6.93,0.3647190711028319,0.3656563389709215
6.931,0.36589970460396043,0.3712653405813191
6.932,0.3662692926853709,0.37634883133815533
6.933,0.36729099058902653,0.38083532288886973
6.934,0.36963511020037004,0.37557573490452795
6.935,0.37207205561042195,0.36683000308483393
6.936,0.3746046258382677,0.36097554299593815
6.937,0.3766223175254973,0.3578017662854157
6.938,0.3775428621913421,0.3743937707738792
6.939,0.37786592311423883,0.3654435161401481
6.94,0.378295050466725,0.38095370158987857
6.941,0.37792956239915587,0.39856539370591876
6.942,0.37831240073675876,0.4120241930720256
6.943,0.38083843513163257,0.40778724851014914
6.944,0.38369299201223284,0.3968137201307998
6.945,0.3858898412693094,0.38780669147592933
6.946,0.38781399607344375,0.3861332381873428
6.947,0.3916498588291896,0.38103251356118667
6.948,0.3959467881648069,0.37822458264795755
6.949,0.3990424339706254,0.3777342451938884
6.95,0.4008398649243746,0.37994107667773086
6.951,0.40243402083713914,0.3867272081885471
6.952,0.40583298400882306,0.3905112222993101
6.953,0.40968122783327793,0.37850927732192885
6.954,0.4127896012774999,0.3952483736859662
6.955,0.4164873224355134,0.4130650068253212
6.956,0.421069329466714,0.42326902767469304
6.957,0.4251990601064312,0.427461400689116
6.958,0.42882361533532687,0.4310634171129122
6.959,0.4338046374668606,0.4343097860141318
6.96,0.43941531689598673,0.4374620128933803
6.961,0.44624789638156453,0.44077084807073746
6.962,0.4525952383523767,0.44467945938386727
6.963,0.45822004218022033,0.45674675844541995
6.964,0.46348621595960593,0.4635034222434048
6.965,0.4677732021323027,0.47131404340708716
6.966,0.47175118831333646,0.48028358336915744
6.967,0.4760628161666897,0.4865860243617519
6.968,0.4808942836985454,0.49859070670328837
6.969,0.48478652534013617,0.5091262078146083
6.97,0.4880300484290805,0.5196575797397449
6.971,0.49051192263441334,0.5255142819633566
6.972,0.492645354940479,0.5290348948110329
6.973,0.49465965290564823,0.5308047467982825
6.974,0.49685818600962495,0.5309465220367358
6.975,0.49767095348746043,0.5287737030257175
6.976,0.4979414041110775,0.5274435028100393
6.977,0.4978164050641416,0.5261366742323438
6.978,0.4970529416325801,0.5281526677380877
6.979,0.49607883083139065,0.5288149780327235
6.98,0.4945439034642801,0.5224212080238374
6.981,0.49355499708516254,0.5216080674183472
6.982,0.4923310749128761,0.5139284627604915
6.983,0.4913287854910685,0.5030035787961025
6.984,0.490773147484579,0.4920519948879255
6.985,0.4898174016359714,0.4821466805526434
6.986,0.4887769683745283,0.4762630342723418
6.987,0.4876570458370331,0.472023368628062
6.988,0.4863725046271385,0.46819313488073194
6.989,0.48481804104446946,0.46222416056146387
6.99,0.4827284673349672,0.4540032974214413
6.991,0.48031132684046407,0.4443449878158833
6.992,0.47833687266910313,0.4331026346894394
6.993,0.47688795476153323,0.4230556659301492
6.994,0.47576355785514074,0.4168050714992152
6.995,0.47541301711293643,0.41054395958092343
6.996,0.47605443420702365,0.40422518808838537
6.997,0.4768669867431424,0.3977930489432585
6.998,0.47879646610626114,0.40865927487036485
6.999,0.4820783986644489,0.42992819648813896
7.0,0.4851733315433215,0.45302369613560767
7.001,0.4874954182260971,0.46019527734896115
7.002,0.48905069115818034,0.4670937782219605
7.003,0.4899491100824222,0.47468198447276616
7.004,0.49062612243015297,0.4828075967579633
7.005,0.4913527666178756,0.49140163957003996
7.006,0.4917824985643865,0.5005411366958475
7.007,0.4919380583977048,0.5107303284710144
7.008,0.49202322454133457,0.5242224512869028
7.009,0.4910233661673994,0.5281522463085346
7.01,0.4897137113218736,0.5303689884780259
7.011,0.48800886708405616,0.5306365359517714
7.012,0.4861342707688386,0.5301326386853698
7.013,0.4836654098273248,0.5291042742460496
7.014,0.48093538239429806,0.5272170350252211
7.015,0.4784160932289669,0.5233392028935409
7.016,0.47605777894927637,0.5168498525242801
7.017,0.47380851284454784,0.5058976598408338
7.018,0.4734371543553676,0.4972855001992512
7.019,0.4730754936057122,0.4888582783421377
7.02,0.47255439599527144,0.480190237081623
7.021,0.4731950238158908,0.4710690116507822
7.022,0.4739081604908154,0.4613298330620174
7.023,0.474908823059483,0.4508215964356481
7.024,0.4749289363633122,0.4393855499679444
7.025,0.4740262786613342,0.4268365811436816
7.026,0.472099173180255,0.4311952430125998
7.027,0.46889455251675594,0.4461582355545286
7.028,0.4653516500477046,0.4576537161431668
7.029,0.46164294622515845,0.4654860378262411
7.03,0.45718029295911206,0.4678954890281136
7.031,0.450944635802,0.4599231473883429
7.032,0.4445464499760425,0.4504746622211025
7.033,0.4393058198011954,0.44020582244420453
7.034,0.43262104774910703,0.42920540584157046
7.035,0.424763493919608,0.4166816146381384
7.036,0.41746549583027215,0.40310660055049286
7.037,0.4097041686620864,0.38863163572234355
7.038,0.4024668761640861,0.3732216429395492
7.039,0.3943736597286074,0.3568228307686538
7.04,0.3865177298692594,0.3393846537691359
7.041,0.3807823719827678,0.3215537221742531
7.042,0.3747552479480221,0.30917719441560804
7.043,0.3685318206758066,0.30542986498600555
7.044,0.36276622490295823,0.3075074430104361
7.045,0.35685568984953686,0.2716639514570793
7.046,0.3499518907225651,0.2594440612212678
7.047,0.34526536930501167,0.2727037231759217
7.048,0.34227441221066146,0.30148810202338944
7.049,0.3413960292567166,0.3397965588760952
7.05,0.34143925480243004,0.3721288236393724
7.051,0.34182800058228474,0.40137493282626213
7.052,0.34204321287757533,0.39175738707385305
7.053,0.3436296360095158,0.38309757785056164
7.054,0.3482166590936668,0.3786275546499826
7.055,0.3547124975556501,0.37717255658840737
7.056,0.3614902632920052,0.38567188998406904
7.057,0.36828821619021374,0.39563877209495785
7.058,0.3770818288721929,0.40471273369017463
7.059,0.3852163535058886,0.41215743178032416
7.06,0.39009383118918145,0.41989038900556397
7.061,0.3927324572433548,0.42690411345305146
7.062,0.3965898276994893,0.43359297661572394
7.063,0.4011749914495214,0.440550333146022
7.064,0.40716878380903876,0.44706587215353677
7.065,0.41198734198848014,0.4527165922715155
7.066,0.4163946765848158,0.45760563948858646
7.067,0.4194329838985172,0.4603437700648219
7.068,0.4210101146457214,0.46673133324404587
7.069,0.4220441129704253,0.475610925326485
7.07,0.42263352971813434,0.4705893609617882
7.071,0.4227866828123465,0.4731437738661402
7.072,0.42216654488417993,0.47520965922606195
7.073,0.42116031904304774,0.47684028814492546
7.074,0.418143065082556,0.47738805168963505
7.075,0.4139021048861398,0.4770341293389583
7.076,0.40939781426362143,0.46896871997592116
7.077,0.40507327119193004,0.4599668063903249
7.078,0.40029301217388435,0.4464669062441902
7.079,0.3955414578174723,0.44301237457099574
7.08,0.390270754684131,0.4297176129530157
7.081,0.3860509134723992,0.4208037064710847
7.082,0.3826697496011847,0.4097293011066743
7.083,0.3797066896166871,0.39961165366761187
7.084,0.3767623430004235,0.3918258765016936
7.085,0.37402109090063457,0.39454922651978225
7.086,0.37028900698974176,0.3928020301462882
7.087,0.36677925948639023,0.3855688406638831
7.088,0.36368957096046833,0.38039811896549564
7.089,0.3620434615965117,0.3765353537037867
7.09,0.36169412212852675,0.3739389751439339
7.091,0.3627624900977769,0.37259772017836956
7.092,0.3635553940186052,0.37248700800577367
7.093,0.36502061009884806,0.37358409855749214
7.094,0.36617910674919135,0.3761218795625307
7.095,0.36858082831172545,0.38100487597769567
7.096,0.37133285778720776,0.3835665758091017
7.097,0.374056436500829,0.3776352561032684
7.098,0.3779435593457514,0.3706036697748256
7.099,0.3825709761916768,0.3634716488169505
7.1,0.3866507095398076,0.353192715986127
7.101,0.3896569907326187,0.34854508458946576
7.102,0.3910494504874391,0.35445232495895723
7.103,0.39251306502012984,0.36050662243432036
7.104,0.3925986534336717,0.36713666990702626
7.105,0.3934022066542628,0.3741543404867152
7.106,0.39460638778279894,0.3813819802060398
7.107,0.39444770108217697,0.3886599187665446
7.108,0.3938803901734878,0.39584280855008075
7.109,0.3923786184637483,0.4027949546781886
7.11,0.38996073074942905,0.40938478102967635
7.111,0.38675706961429024,0.4154783689330549
7.112,0.38424166870266685,0.4209326387815638
7.113,0.3820714061735878,0.42558885631416726
